Name           :	1mgmlAuDDT_O15	
User           :	Isaac	
Date           :	8/6/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.000	
Unit           :	mg/ml           	
Volume         :	400.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
57.51	31.886	13.065	38.46	0.31	14.856	11.561	-207.51		-0.87	0.000
57.79	31.931	13.041	38.42	0.31	14.997	11.562	-232.94		-0.87	0.000
58.06	31.995	12.993	38.36	0.31	15.043	11.589	-257.73		-0.87	0.000
58.33	32.060	12.909	38.29	0.31	15.086	11.657	-264.15		-0.87	0.000
58.61	32.103	12.788	38.25	0.31	15.136	11.716	-263.28		-0.87	0.000
58.88	32.167	12.644	38.18	0.31	15.165	11.744	-251.82		-0.87	0.000
59.16	32.228	12.452	38.12	0.31	15.184	11.799	-237.37		-0.87	0.000
59.43	32.290	12.236	38.06	0.31	15.212	11.825	-240.91		-0.87	0.000
59.71	32.329	11.971	38.02	0.31	15.232	11.851	-258.44		-0.87	0.000
59.98	32.391	11.695	37.96	0.31	15.246	11.882	-273.62		-0.87	0.000
60.26	32.449	11.370	37.90	0.31	15.274	11.908	-327.31		-0.87	0.000
60.53	32.505	11.022	37.84	0.31	15.302	11.934	-360.78		-0.87	0.000
60.80	32.540	10.649	37.81	0.31	15.302	11.962	-439.95		-0.87	0.000
61.07	32.592	10.252	37.76	0.31	15.328	11.978	-476.82		-0.87	0.000
61.35	32.642	9.820	37.71	0.31	15.345	11.994	-507.35		-0.87	0.000
61.62	32.674	9.363	37.68	0.31	15.362	12.013	-501.94		-0.87	0.000
61.90	32.720	8.882	37.63	0.31	15.373	12.023	-470.16		-0.87	0.000
62.17	32.764	8.377	37.59	0.31	15.392	12.041	-441.42		-0.87	0.000
62.45	32.804	7.849	37.55	0.31	15.396	12.057	-372.38		-0.87	0.000
62.72	32.828	7.296	37.52	0.31	15.400	12.070	-330.83		-0.87	0.000
63.00	32.864	6.707	37.49	0.31	15.402	12.083	-271.76		-0.87	0.000
63.27	32.894	6.130	37.46	0.31	15.414	12.091	-245.33		-0.87	0.000
63.54	32.923	5.517	37.43	0.31	15.424	12.096	-236.12		-0.87	0.000
63.82	32.941	4.916	37.41	0.31	15.413	12.101	-207.28		-0.87	0.000
64.09	32.962	4.279	37.39	0.31	15.395	12.102	-198.55		-0.87	0.000
64.37	32.981	3.630	37.37	0.31	15.393	12.102	-195.69		-0.87	0.000
64.65	32.995	2.981	37.36	0.31	15.394	12.095	-196.56		-0.87	0.000
64.92	33.003	2.308	37.35	0.31	15.369	12.087	-192.39		-0.87	0.000
65.19	33.017	1.635	37.33	0.31	15.348	12.078	-188.44		-0.87	0.000
65.46	33.019	0.962	37.33	0.31	15.338	12.063	-167.94		-0.87	0.000
65.73	33.020	0.300	37.33	0.31	15.292	12.042	-146.28		-0.87	0.000
66.00	33.022	-0.349	37.33	0.31	15.269	12.014	-77.69		-0.87	0.000
66.27	33.022	-1.010	37.33	0.31	15.223	11.984	-40.63		-0.87	0.000
66.54	33.022	-1.671	37.33	0.31	15.191	11.954	6.96		-0.87	0.000
66.81	33.022	-2.344	37.33	0.31	15.173	11.922	5.50		-0.87	0.000
67.08	33.011	-2.981	37.34	0.31	15.146	11.890	-34.41		-0.87	0.000
67.35	32.997	-3.630	37.35	0.31	15.120	11.878	-71.45		-0.87	0.000
67.63	32.978	-4.267	37.37	0.31	15.078	11.851	-173.23		-0.87	0.000
67.91	32.955	-4.892	37.39	0.31	15.040	11.821	-234.15		-0.87	0.000
68.19	32.927	-5.529	37.42	0.31	14.995	11.791	-323.47		-0.87	0.000
68.47	32.897	-6.142	37.45	0.31	14.927	11.752	-350.85		-0.87	0.000
68.74	32.877	-6.731	37.47	0.31	14.870	11.695	-392.98		-0.87	0.000
69.02	32.840	-7.308	37.51	0.31	14.840	11.631	-415.82		-0.87	0.000
69.30	32.804	-7.861	37.55	0.31	14.823	11.582	-436.88		-0.87	0.000
69.57	32.760	-8.389	37.59	0.31	14.807	11.545	-430.71		-0.87	0.000
69.85	32.732	-8.906	37.62	0.31	14.763	11.521	-376.53		-0.87	0.000
70.13	32.687	-9.387	37.66	0.31	14.676	11.493	-330.95		-0.87	0.000
70.40	32.640	-9.856	37.71	0.31	14.579	11.425	-221.30		-0.87	0.000
70.68	32.587	-10.288	37.76	0.31	14.534	11.333	-166.84		-0.87	0.000
70.95	32.554	-10.697	37.80	0.31	14.407	11.220	-106.98		-0.87	0.000
