Name           :	1mgmlAuDDT_O16	
User           :	Isaac	
Date           :	8/6/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.000	
Unit           :	mg/ml           	
Volume         :	400.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
42.88	38.838	10.697	31.51	0.26	17.847	14.267	-172.27		-0.90	0.000
43.15	38.891	10.685	31.46	0.26	17.937	14.261	-185.70		-0.90	0.000
43.43	38.945	10.649	31.41	0.26	17.982	14.258	-212.80		-0.90	0.000
43.70	38.979	10.577	31.37	0.26	18.025	14.293	-219.41		-0.90	0.000
43.98	39.033	10.481	31.32	0.26	18.089	14.336	-202.36		-0.90	0.000
44.25	39.084	10.349	31.27	0.26	18.113	14.388	-186.59		-0.90	0.000
44.53	39.136	10.192	31.21	0.26	18.124	14.439	-130.17		-0.90	0.000
44.81	39.169	10.024	31.18	0.25	18.166	14.476	-107.83		-0.90	0.000
45.08	39.219	9.808	31.13	0.25	18.209	14.511	-64.77		-0.90	0.000
45.35	39.266	9.579	31.08	0.25	18.237	14.553	-38.79		-0.90	0.000
45.63	39.315	9.315	31.03	0.25	18.270	14.586	-6.88		-0.90	0.000
45.89	39.346	9.038	31.00	0.25	18.303	14.601	18.13		-0.90	0.000
46.17	39.389	8.726	30.96	0.25	18.319	14.634	66.12		-0.90	0.000
46.44	39.432	8.401	30.92	0.25	18.345	14.664	90.78		-0.90	0.000
46.71	39.461	8.053	30.89	0.25	18.382	14.687	140.66		-0.90	0.000
46.99	39.498	7.680	30.85	0.25	18.387	14.712	165.92		-0.90	0.000
47.26	39.536	7.284	30.81	0.25	18.400	14.734	171.84		-0.90	0.000
47.53	39.571	6.875	30.78	0.25	18.427	14.745	153.53		-0.90	0.000
47.80	39.593	6.442	30.76	0.25	18.435	14.765	126.29		-0.90	0.000
48.07	39.623	5.998	30.73	0.25	18.450	14.778	109.00		-0.90	0.000
48.35	39.654	5.541	30.70	0.25	18.478	14.782	77.49		-0.90	0.000
48.63	39.670	5.060	30.68	0.25	18.475	14.797	11.70		-0.90	0.000
48.90	39.695	4.555	30.66	0.25	18.488	14.809	-31.36		-0.90	0.000
49.17	39.715	4.050	30.63	0.25	18.470	14.814	-119.26		-0.90	0.000
49.45	39.733	3.534	30.62	0.25	18.492	14.815	-160.32		-0.90	0.000
49.72	39.742	3.017	30.61	0.25	18.490	14.814	-254.13		-0.90	0.000
49.99	39.757	2.476	30.59	0.25	18.470	14.811	-295.53		-0.90	0.000
50.26	39.766	1.947	30.58	0.25	18.456	14.801	-318.82		-0.90	0.000
50.54	39.774	1.394	30.58	0.25	18.430	14.790	-322.46		-0.90	0.000
50.81	39.775	0.853	30.57	0.25	18.404	14.769	-331.85		-0.90	0.000
51.08	39.778	0.300	30.57	0.25	18.387	14.760	-340.78		-0.90	0.000
51.35	39.779	-0.228	30.57	0.25	18.359	14.730	-341.52		-0.90	0.000
51.62	39.779	-0.781	30.57	0.25	18.324	14.699	-327.71		-0.90	0.000
51.89	39.779	-1.322	30.57	0.25	18.310	14.669	-288.50		-0.90	0.000
52.16	39.779	-1.863	30.57	0.25	18.281	14.636	-267.35		-0.90	0.000
52.43	39.778	-2.392	30.57	0.25	18.253	14.606	-231.96		-0.90	0.000
52.70	39.761	-2.933	30.59	0.25	18.219	14.575	-206.99		-0.90	0.000
52.98	39.747	-3.438	30.60	0.25	18.186	14.545	-151.99		-0.90	0.000
53.26	39.733	-3.954	30.62	0.25	18.147	14.516	-134.77		-0.90	0.000
53.53	39.714	-4.471	30.64	0.25	18.101	14.486	-93.27		-0.90	0.000
53.81	39.688	-4.976	30.66	0.25	18.068	14.471	-71.48		-0.90	0.000
54.08	39.663	-5.457	30.69	0.25	18.044	14.438	-22.13		-0.90	0.000
54.35	39.643	-5.925	30.71	0.25	18.034	14.410	4.69		-0.90	0.000
54.63	39.613	-6.382	30.74	0.25	18.012	14.386	40.59		-0.90	0.000
54.90	39.578	-6.815	30.77	0.25	17.993	14.361	39.33		-0.90	0.000
55.18	39.542	-7.224	30.81	0.25	17.954	14.338	21.33		-0.90	0.000
55.45	39.518	-7.620	30.83	0.25	17.898	14.309	13.95		-0.90	0.000
55.72	39.479	-8.005	30.87	0.25	17.830	14.259	15.87		-0.90	0.000
56.00	39.438	-8.353	30.91	0.25	17.744	14.186	27.00		-0.90	0.000
56.27	39.409	-8.690	30.94	0.25	17.659	14.093	53.22		-0.90	0.000
56.53	39.366	-9.002	30.98	0.25	17.551	14.042	59.30		-0.90	0.000
56.81	39.320	-9.279	31.03	0.25	17.500	13.925	64.03		-0.90	0.000
57.08	39.272	-9.543	31.08	0.25	17.386	13.800	59.69		-0.90	0.000
57.35	39.241	-9.772	31.11	0.25	17.244	13.665	70.15		-0.90	0.000
57.63	39.189	-9.988	31.16	0.25	17.115	13.520	82.77		-0.90	0.000
57.91	39.141	-10.168	31.21	0.26	16.983	13.369	142.20		-0.90	0.000
58.18	39.089	-10.325	31.26	0.26	16.830	13.211	164.78		-0.90	0.000
58.46	39.055	-10.457	31.30	0.26	16.679	13.048	183.03		-0.90	0.000
58.74	39.002	-10.565	31.35	0.26	16.527	12.886	178.48		-0.90	0.000
59.02	38.948	-10.637	31.40	0.26	16.381	12.719	149.53		-0.90	0.000
59.29	38.896	-10.685	31.45	0.26	16.225	12.551	137.00		-0.90	0.000
59.56	38.861	-10.697	31.49	0.26	16.074	12.384	126.47		-0.90	0.000
59.83	38.806	-10.685	31.54	0.26	16.001	12.300	125.03		-0.90	0.000
60.11	38.754	-10.637	31.60	0.26	15.855	12.131	91.71		-0.90	0.000
60.38	38.719	-10.577	31.63	0.26	15.710	11.971	16.70		-0.90	0.000
60.66	38.666	-10.469	31.68	0.26	15.550	11.810	-19.48		-0.90	0.000
60.93	38.613	-10.349	31.74	0.26	15.402	11.649	-61.88		-0.90	0.000
61.21	38.561	-10.192	31.79	0.26	15.255	11.483	-58.82		-0.90	0.000
