Name           :	1mgmlAuDDT_O12	
User           :	Isaac	
Date           :	8/6/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.000	
Unit           :	mg/ml           	
Volume         :	400.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
20.80	17.779	17.849	52.57	0.43	5.948	3.860	-119.11		-0.74	0.000
21.07	17.839	17.837	52.51	0.43	6.078	3.871	-188.54		-0.74	0.000
21.34	17.929	17.764	52.42	0.43	6.184	3.905	-206.92		-0.74	0.000
21.62	18.019	17.656	52.33	0.43	6.321	3.978	-232.92		-0.74	0.000
21.89	18.075	17.488	52.28	0.43	6.434	4.065	-247.21		-0.74	0.000
22.16	18.162	17.284	52.19	0.43	6.531	4.157	-283.50		-0.74	0.000
22.44	18.249	17.031	52.10	0.43	6.578	4.238	-308.42		-0.74	0.000
22.71	18.333	16.731	52.02	0.43	6.684	4.320	-342.84		-0.74	0.000
22.98	18.386	16.394	51.96	0.42	6.759	4.362	-333.88		-0.74	0.000
23.25	18.470	16.010	51.88	0.42	6.852	4.433	-257.00		-0.74	0.000
23.52	18.547	15.577	51.80	0.42	6.928	4.503	-201.84		-0.74	0.000
23.80	18.599	15.108	51.75	0.42	6.998	4.571	-103.47		-0.74	0.000
24.07	18.675	14.603	51.68	0.42	7.092	4.632	-94.05		-0.74	0.000
24.34	18.744	14.050	51.61	0.42	7.147	4.696	-130.44		-0.74	0.000
24.62	18.813	13.474	51.54	0.42	7.230	4.760	-159.27		-0.74	0.000
24.89	18.858	12.849	51.49	0.42	7.291	4.813	-197.19		-0.74	0.000
25.16	18.920	12.200	51.43	0.42	7.309	4.872	-193.75		-0.74	0.000
25.44	18.980	11.502	51.37	0.42	7.390	4.926	-167.76		-0.74	0.000
25.71	19.017	10.793	51.33	0.42	7.426	4.978	-153.02		-0.74	0.000
25.98	19.071	10.048	51.28	0.42	7.490	5.008	-163.34		-0.74	0.000
26.25	19.117	9.279	51.23	0.42	7.544	5.046	-191.52		-0.74	0.000
26.53	19.161	8.474	51.19	0.42	7.603	5.083	-269.54		-0.74	0.000
26.80	19.190	7.656	51.16	0.42	7.605	5.113	-308.72		-0.74	0.000
27.07	19.226	6.815	51.12	0.42	7.646	5.138	-327.46		-0.74	0.000
27.35	19.256	5.962	51.09	0.42	7.658	5.158	-311.66		-0.74	0.000
27.62	19.276	5.096	51.07	0.42	7.634	5.175	-267.42		-0.74	0.000
27.89	19.301	4.195	51.05	0.42	7.676	5.193	-254.35		-0.74	0.000
28.16	19.318	3.293	51.03	0.42	7.662	5.199	-259.82		-0.74	0.000
28.43	19.329	2.404	51.02	0.42	7.668	5.200	-266.11		-0.74	0.000
28.71	19.336	1.490	51.01	0.42	7.634	5.201	-264.36		-0.74	0.000
28.97	19.339	0.577	51.01	0.42	7.625	5.178	-249.66		-0.74	0.000
29.25	19.339	-0.325	51.01	0.42	7.595	5.154	-195.24		-0.74	0.000
29.51	19.339	-1.226	51.01	0.42	7.562	5.120	-163.14		-0.74	0.000
29.78	19.339	-2.139	51.01	0.42	7.557	5.093	-100.56		-0.74	0.000
30.05	19.338	-3.029	51.01	0.42	7.521	5.063	-73.26		-0.74	0.000
30.33	19.325	-3.918	51.03	0.42	7.499	5.041	-43.28		-0.74	0.000
30.60	19.298	-4.796	51.05	0.42	7.473	5.018	-19.04		-0.74	0.000
30.87	19.272	-5.685	51.08	0.42	7.445	5.006	34.61		-0.74	0.000
31.14	19.240	-6.538	51.11	0.42	7.401	4.983	61.90		-0.74	0.000
