Name           :	1mgmlAuDDT_O14	
User           :	Isaac	
Date           :	8/6/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	Au NP	
MW             :	197.0	
Concentration  :	1.000	
Unit           :	mg/ml           	
Volume         :	400.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
12.27	23.668	15.841	46.68	0.38	11.892	8.758	-184.35		-0.82	0.000
12.54	23.746	15.829	46.60	0.38	12.031	8.765	-130.80		-0.82	0.000
12.82	23.826	15.769	46.52	0.38	12.094	8.783	-79.38		-0.82	0.000
13.09	23.904	15.673	46.45	0.38	12.134	8.851	43.08		-0.82	0.000
13.37	23.955	15.517	46.39	0.38	12.173	8.919	103.80		-0.82	0.000
13.63	24.032	15.337	46.32	0.38	12.215	8.986	195.29		-0.82	0.000
13.91	24.108	15.108	46.24	0.38	12.256	9.039	224.22		-0.82	0.000
14.19	24.159	14.856	46.19	0.38	12.314	9.088	245.62		-0.82	0.000
14.46	24.232	14.543	46.12	0.38	12.338	9.135	237.65		-0.82	0.000
14.73	24.304	14.195	46.05	0.38	12.374	9.180	238.49		-0.82	0.000
15.00	24.373	13.822	45.98	0.38	12.413	9.198	242.08		-0.82	0.000
15.27	24.421	13.401	45.93	0.38	12.439	9.232	230.78		-0.82	0.000
15.55	24.486	12.957	45.86	0.37	12.456	9.270	216.12		-0.82	0.000
15.83	24.549	12.464	45.80	0.37	12.475	9.300	176.81		-0.82	0.000
16.10	24.611	11.935	45.74	0.37	12.500	9.326	143.27		-0.82	0.000
16.37	24.649	11.370	45.70	0.37	12.509	9.354	52.74		-0.82	0.000
16.65	24.704	10.793	45.65	0.37	12.529	9.373	-7.02		-0.82	0.000
16.92	24.757	10.192	45.59	0.37	12.549	9.390	-137.51		-0.82	0.000
17.19	24.790	9.543	45.56	0.37	12.546	9.409	-184.70		-0.82	0.000
17.47	24.836	8.882	45.51	0.37	12.565	9.424	-244.22		-0.82	0.000
17.74	24.876	8.209	45.47	0.37	12.568	9.434	-268.06		-0.82	0.000
18.02	24.918	7.488	45.43	0.37	12.576	9.440	-308.13		-0.82	0.000
18.29	24.941	6.755	45.41	0.37	12.563	9.446	-320.98		-0.82	0.000
18.57	24.971	5.986	45.38	0.37	12.571	9.452	-359.27		-0.82	0.000
18.84	24.999	5.228	45.35	0.37	12.562	9.454	-380.99		-0.82	0.000
19.12	25.023	4.447	45.33	0.37	12.546	9.451	-410.51		-0.82	0.000
19.39	25.037	3.666	45.31	0.37	12.545	9.448	-405.04		-0.82	0.000
19.66	25.052	2.861	45.30	0.37	12.531	9.442	-353.27		-0.82	0.000
19.93	25.062	2.055	45.29	0.37	12.507	9.432	-315.74		-0.82	0.000
20.21	25.070	1.238	45.28	0.37	12.468	9.418	-248.69		-0.82	0.000
20.48	25.070	0.433	45.28	0.37	12.456	9.400	-225.13		-0.82	0.000
20.75	25.070	-0.373	45.28	0.37	12.434	9.392	-186.59		-0.82	0.000
21.02	25.070	-1.178	45.28	0.37	12.406	9.364	-185.64		-0.82	0.000
21.29	25.070	-1.983	45.28	0.37	12.396	9.340	-200.01		-0.82	0.000
21.56	25.070	-2.788	45.28	0.37	12.358	9.312	-206.21		-0.82	0.000
21.84	25.049	-3.582	45.30	0.37	12.335	9.288	-199.23		-0.82	0.000
22.11	25.037	-4.351	45.31	0.37	12.305	9.267	-183.90		-0.82	0.000
22.39	25.012	-5.156	45.34	0.37	12.271	9.246	-164.79		-0.82	0.000
22.67	24.982	-5.925	45.37	0.37	12.235	9.225	-176.96		-0.82	0.000
22.94	24.952	-6.683	45.40	0.37	12.168	9.194	-196.22		-0.82	0.000
23.22	24.928	-7.416	45.42	0.37	12.142	9.149	-232.99		-0.82	0.000
23.50	24.890	-8.137	45.46	0.37	12.125	9.099	-245.03		-0.82	0.000
23.77	24.846	-8.846	45.50	0.37	12.115	9.086	-230.75		-0.82	0.000
24.05	24.800	-9.519	45.55	0.37	12.094	9.059	-206.88		-0.82	0.000
24.32	24.766	-10.156	45.58	0.37	12.066	9.035	-136.72		-0.82	0.000
24.60	24.714	-10.781	45.64	0.37	11.967	9.007	-101.63		-0.82	0.000
24.88	24.659	-11.358	45.69	0.37	11.882	8.944	-24.44		-0.82	0.000
25.15	24.603	-11.923	45.75	0.37	11.800	8.861	-8.98		-0.82	0.000
