  k = 0.59, E1 = 12, 3.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.06250    5.03710E+011  
        5.16667    5.31597E+011  
        5.27083    5.62056E+011  
        5.37500    6.03450E+011  
        5.47917    6.41413E+011  
        5.58333    6.91971E+011  
        5.68750    7.47300E+011  
        5.79167    8.00719E+011  
        5.89583    8.71469E+011  
        6.00000    9.47425E+011  
        6.10417    1.03739E+012  
        6.20833    1.15100E+012  
        6.31250    1.27761E+012  
        6.41667    1.44004E+012  
        6.52083    1.61708E+012  
        6.62500    1.81016E+012  
        6.72917    2.07572E+012  
        6.83333    2.37248E+012  
        6.93750    2.65509E+012  
        7.04167    3.02843E+012  
        7.14583    3.52453E+012  
        7.25000    3.96299E+012  
        7.35417    4.44691E+012  
        7.45833    5.22945E+012  
        7.56250    5.89561E+012  
        7.66667    6.49930E+012  
        7.75000    7.55872E+012  
        7.85417    8.24810E+012  
        7.95833    9.34933E+012  
        8.06250    1.09797E+013  
        8.16667    1.18079E+013  
        8.25000    1.35261E+013  
        8.35417    1.50366E+013  
        8.45833    1.63458E+013  
        8.54167    1.89270E+013  
        8.64583    2.00997E+013  
        8.75000    2.32832E+013  
        8.83333    2.52119E+013  
        8.93750    2.78625E+013  
        9.02083    3.14704E+013  
        9.12500    3.36852E+013  
        9.20833    3.88525E+013  
        9.31250    4.15669E+013  
        9.39583    4.69044E+013  
        9.47917    5.00567E+013  
        9.58333    5.62785E+013  
        9.66667    6.29753E+013  
        9.75000    6.77592E+013  
        9.83333    7.65623E+013  
        9.91667    8.24291E+013  
        10.0000    9.35654E+013  
        10.0833    1.01157E+014  
        10.1667    1.14189E+014  
        10.2500    1.23598E+014  
        10.3333    1.37349E+014  
        10.4167    1.47536E+014  
        10.5000    1.60188E+014  
        10.5625    1.66606E+014  
        10.6458    1.77942E+014  
        10.7083    1.82808E+014  
        10.7917    1.91904E+014  
        10.8542    1.95766E+014  
        10.9375    2.02847E+014  
        11.0000    2.06304E+014  
        11.0625    2.10690E+014  
        11.1458    2.15662E+014  
        11.2083    2.19648E+014  
        11.2708    2.23565E+014  
        11.3333    2.27065E+014  
        11.3958    2.31358E+014  
        11.4583    2.34462E+014  
        11.5000    2.37143E+014  
        11.5625    2.41315E+014  
        11.6250    2.43800E+014  
        11.6667    2.46539E+014  
        11.7292    2.49832E+014  
        11.7708    2.49607E+014  
        11.8333    2.51961E+014  
        11.8750    2.52921E+014  
        11.9167    2.39244E+014  
        11.9583    1.98896E+014  
        12.0000    1.35775E+014  
        12.0417    7.17989E+013  
        12.0833    2.97804E+013  
        12.1250    1.40364E+013  
        12.1667    1.20305E+013  
        12.2292    9.91746E+012  
        12.2708    7.14308E+012  
        12.3333    6.25128E+012  
        12.3750    5.95724E+012  
        12.4375    4.53047E+012  
        12.5000    4.11652E+012  
        12.5417    4.07077E+012  
        12.6042    3.71003E+012  
        12.6667    3.35006E+012  
        12.7292    3.13322E+012  
        12.7917    2.94627E+012  
        12.8542    3.04603E+012  
        12.9375    2.90047E+012  
        13.0000    2.48799E+012  
        13.0625    2.83960E+012  
        13.1458    2.83694E+012  
        13.2083    2.84016E+012  
