  k = 0.59, E1 = 12, 3.4 x 1.5 mm
  _______________________________
                                 
              E               F  
        13.2917    2.59073E+012  
        13.3542    2.65733E+012  
        13.4375    3.20209E+012  
        13.5000    2.61560E+012  
        13.5833    2.80182E+012  
        13.6667    3.15179E+012  
        13.7500    3.13080E+012  
        13.8333    3.03141E+012  
        13.9167    3.17338E+012  
        14.0000    3.67354E+012  
        14.0833    3.52720E+012  
        14.1667    3.30737E+012  
        14.2500    3.89816E+012  
        14.3333    4.50064E+012  
        14.4167    3.47101E+012  
        14.5208    4.15836E+012  
        14.6042    5.34509E+012  
        14.6875    4.11256E+012  
        14.7917    4.54901E+012  
        14.8750    5.95328E+012  
        14.9792    5.11900E+012  
        15.0625    5.05524E+012  
        15.1667    6.60628E+012  
        15.2500    6.48583E+012  
        15.3542    5.62732E+012  
        15.4583    7.15005E+012  
        15.5417    7.93617E+012  
        15.6458    6.43606E+012  
        15.7500    7.73047E+012  
        15.8333    9.30233E+012  
        15.9375    7.59501E+012  
        16.0417    8.43422E+012  
        16.1458    1.06381E+013  
        16.2500    9.16857E+012  
        16.3333    9.23164E+012  
        16.4375    1.17239E+013  
        16.5417    1.10554E+013  
        16.6458    1.04328E+013  
        16.7500    1.29383E+013  
        16.8542    1.28701E+013  
        16.9583    1.20727E+013  
        17.0625    1.40067E+013  
        17.1667    1.50705E+013  
        17.2708    1.34383E+013  
        17.3750    1.56116E+013  
        17.4792    1.71286E+013  
        17.5833    1.49490E+013  
        17.6875    1.75192E+013  
        17.7917    1.87806E+013  
        17.8958    1.75600E+013  
        18.0000    1.82099E+013  
        18.1042    2.19031E+013  
        18.2083    1.89908E+013  
        18.3125    2.01535E+013  
        18.4167    2.41223E+013  
        18.5208    2.08676E+013  
        18.6250    2.28533E+013  
        18.7292    2.46334E+013  
        18.8333    2.53591E+013  
        18.9375    2.25154E+013  
        19.0417    2.85964E+013  
        19.1458    2.62999E+013  
        19.2500    2.54648E+013  
        19.3542    2.99157E+013  
        19.4583    2.89342E+013  
        19.5625    2.79267E+013  
        19.6667    3.00833E+013  
        19.7500    3.45649E+013  
        19.8542    2.71707E+013  
        19.9583    3.32017E+013  
        20.0625    3.36035E+013  
        20.1667    3.16880E+013  
        20.2500    3.25208E+013  
        20.3542    3.60996E+013  
        20.4583    3.26925E+013  
        20.5417    3.16217E+013  
        20.6458    3.92265E+013  
        20.7500    3.17313E+013  
        20.8333    3.42253E+013  
        20.9375    3.69675E+013  
        21.0208    3.61791E+013  
        21.1250    3.19909E+013  
        21.2083    3.72736E+013  
        21.3125    3.43441E+013  
        21.3958    3.14732E+013  
        21.4792    3.77483E+013  
        21.5833    3.30632E+013  
        21.6667    3.15701E+013  
        21.7500    3.38819E+013  
        21.8333    3.51506E+013  
        21.9167    2.93836E+013  
        22.0000    3.28387E+013  
        22.0833    3.24075E+013  
        22.1667    2.77583E+013  
        22.2500    3.06411E+013  
        22.3333    3.11853E+013  
        22.4167    2.60490E+013  
        22.5000    2.86753E+013  
        22.5625    2.82677E+013  
        22.6458    2.34699E+013  
        22.7083    2.62558E+013  
        22.7917    2.53902E+013  
        22.8542    2.24112E+013  
        22.9375    2.34334E+013  
        23.0000    2.12621E+013  
        23.0625    1.92002E+013  
        23.1458    2.04649E+013  
        23.2083    1.86085E+013  
        23.2708    1.78829E+013  
        23.3333    1.77233E+013  
        23.3958    1.53725E+013  
        23.4583    1.32357E+013  
        23.5000    1.30884E+013  
        23.5625    1.31703E+013  
        23.6250    1.09377E+013  
        23.6667    1.03462E+013  
        23.7292    1.06275E+013  
        23.7708    9.92578E+012  
        23.8333    7.61980E+012  
        23.8750    5.62650E+012  
        23.9167    4.46405E+012  
        23.9583    4.67488E+012  
        24.0000    4.87594E+012  
        24.0417    3.79145E+012  
        24.0833    2.91692E+012  
        24.1250    3.67120E+012  
        24.1667    4.81121E+012  
        24.2292    5.28822E+012  
        24.2708    4.66589E+012  
        24.3333    3.09954E+012  
        24.3750    3.16395E+012  
        24.4375    3.91881E+012  
        24.5000    3.13426E+012  
        24.5417    2.90855E+012  
        24.6042    4.63247E+012  
        24.6667    4.96655E+012  
        24.7292    4.86606E+012  
        24.7917    4.32033E+012  
        24.8542    3.61312E+012  
        24.9375    3.28918E+012  
        25.0000    3.35929E+012  
