  k = 0.59, E1 = 12, 1.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.06250    9.25373E+010  
        5.16667    9.71310E+010  
        5.27083    1.02473E+011  
        5.37500    1.13113E+011  
        5.47917    1.18361E+011  
        5.58333    1.29446E+011  
        5.68750    1.41731E+011  
        5.79167    1.50857E+011  
        5.89583    1.68464E+011  
        6.00000    1.83727E+011  
        6.10417    2.01906E+011  
        6.20833    2.28323E+011  
        6.31250    2.52623E+011  
        6.41667    2.87825E+011  
        6.52083    3.28269E+011  
        6.62500    3.70402E+011  
        6.72917    4.32628E+011  
        6.83333    5.00872E+011  
        6.93750    5.73451E+011  
        7.04167    6.70522E+011  
        7.14583    7.90019E+011  
        7.25000    9.16480E+011  
        7.35417    1.06182E+012  
        7.45833    1.26976E+012  
        7.56250    1.48057E+012  
        7.66667    1.69047E+012  
        7.75000    1.99429E+012  
        7.85417    2.26617E+012  
        7.95833    2.64269E+012  
        8.06250    3.18432E+012  
        8.16667    3.56990E+012  
        8.25000    4.16156E+012  
        8.35417    4.79631E+012  
        8.45833    5.40924E+012  
        8.54167    6.37418E+012  
        8.64583    7.05599E+012  
        8.75000    8.37940E+012  
        8.83333    9.34928E+012  
        8.93750    1.06751E+013  
        9.02083    1.23030E+013  
        9.12500    1.36945E+013  
        9.20833    1.60584E+013  
        9.31250    1.78604E+013  
        9.39583    2.05528E+013  
        9.47917    2.26186E+013  
        9.58333    2.61898E+013  
        9.66667    3.00552E+013  
        9.75000    3.31998E+013  
        9.83333    3.84533E+013  
        9.91667    4.25197E+013  
        10.0000    4.93993E+013  
        10.0833    5.47889E+013  
        10.1667    6.31341E+013  
        10.2500    6.98632E+013  
        10.3333    7.89581E+013  
        10.4167    8.63046E+013  
        10.5000    9.49250E+013  
        10.5625    9.97143E+013  
        10.6458    1.07618E+014  
        10.7083    1.11396E+014  
        10.7917    1.17959E+014  
        10.8542    1.21074E+014  
        10.9375    1.26431E+014  
        11.0000    1.29312E+014  
        11.0625    1.32806E+014  
        11.1458    1.36932E+014  
        11.2083    1.40275E+014  
        11.2708    1.43561E+014  
        11.3333    1.46634E+014  
        11.3958    1.50281E+014  
        11.4583    1.53190E+014  
        11.5000    1.55557E+014  
        11.5625    1.59194E+014  
        11.6250    1.61786E+014  
        11.6667    1.64293E+014  
        11.7292    1.67488E+014  
        11.7708    1.67967E+014  
        11.8333    1.70545E+014  
        11.8750    1.71889E+014  
        11.9167    1.63201E+014  
        11.9583    1.35924E+014  
        12.0000    9.27238E+013  
        12.0417    4.87974E+013  
        12.0833    1.98204E+013  
        12.1250    8.97576E+012  
        12.1667    7.69820E+012  
        12.2292    6.21942E+012  
        12.2708    4.32163E+012  
        12.3333    3.59320E+012  
        12.3750    3.41497E+012  
        12.4375    2.50869E+012  
        12.5000    2.21357E+012  
        12.5417    2.14508E+012  
        12.6042    1.76375E+012  
        12.6667    1.58397E+012  
        12.7292    1.48477E+012  
        12.7917    1.27275E+012  
        12.8542    1.24237E+012  
        12.9375    1.11202E+012  
        13.0000    9.85044E+011  
        13.0625    1.03545E+012  
        13.1458    9.06817E+011  
        13.2083    9.36793E+011  
