       app. 2x1 mm.,28m,k=2.25    
       _______________________    
                                  
          energy              flux
        12.21739      5.935098E+12
        12.25900      7.297193E+12
        12.31447      6.669843E+12
        12.35607      5.696525E+12
        12.39767      7.759795E+12
        12.45315      6.808246E+12
        12.50862      6.859803E+12
        12.56409      8.378400E+12
        12.61956      6.763754E+12
        12.67503      8.737253E+12
        12.73050      7.841801E+12
        12.78597      8.459266E+12
        12.84144      8.839987E+12
        12.91078      8.724297E+12
        12.96625      9.165895E+12
        13.03559      9.044452E+12
        13.09106      9.317373E+12
        13.16039      9.274116E+12
        13.22973      9.315100E+12
        13.28520      9.292831E+12
        13.35454      9.128231E+12
        13.42388      9.023100E+12
        13.49322      8.711715E+12
        13.56256      8.423827E+12
        13.63190      8.061561E+12
        13.70123      7.550085E+12
        13.77057      7.201193E+12
        13.83991      6.566453E+12
        13.90925      6.236646E+12
        13.97859      5.679234E+12
        14.04792      5.395162E+12
        14.11726      5.148669E+12
        14.18660      5.108537E+12
        14.25594      5.360959E+12
        14.32528      5.921249E+12
        14.39462      6.905340E+12
        14.46395      8.435600E+12
        14.53329      1.058224E+13
        14.60263      1.345525E+13
        14.67197      1.733305E+13
        14.72744      2.110369E+13
        14.79678      2.685181E+13
        14.86612      3.368359E+13
        14.92159      3.985911E+13
        14.99092      4.944368E+13
        15.04639      5.724023E+13
        15.11573      6.837491E+13
        15.17120      7.916534E+13
        15.22667      8.886502E+13
        15.28214      9.937218E+13
        15.33762      1.114290E+14
        15.39309      1.214071E+14
        15.44856      1.305482E+14
        15.50403      1.400864E+14
        15.55950      1.457885E+14
        15.60110      1.483739E+14
        15.64270      1.496597E+14
        15.69817      1.475674E+14
        15.73978      1.389187E+14
        15.78138      1.290342E+14
        15.80911      1.196903E+14
        15.85072      1.026788E+14
        15.87845      8.702672E+13
        15.92006      5.529238E+13
        15.94779      3.367119E+13
        15.97553      1.499378E+13
        16.00326      8.607695E+12
        16.03100      8.543620E+12
        16.07260      4.100563E+12
        16.10034      3.866297E+12
        16.14194      3.999272E+12
        16.16967      4.766766E+12
        16.21128      5.097946E+12
        16.25288      3.065071E+12
        16.30835      3.123749E+12
        16.34995      3.915617E+12
        16.39156      3.457495E+12
        16.44703      2.715296E+12
        16.50250      2.905727E+12
        16.55797      2.743702E+12
        16.61344      2.577748E+12
        16.66891      2.512130E+12
        16.72438      2.295100E+12
        16.77985      2.401655E+12
        16.83532      2.431520E+12
        16.90466      2.289892E+12
        16.96013      2.523179E+12
        17.02947      2.774993E+12
        17.08494      2.944888E+12
        17.15428      3.408839E+12
        17.22362      4.021385E+12
        17.27909      4.552474E+12
        17.34842      5.430202E+12
        17.41776      6.543497E+12
        17.48710      7.786455E+12
        17.55644      9.326490E+12
        17.62578      1.103734E+13
        17.69511      1.311243E+13
        17.76445      1.525023E+13
        17.83379      1.793217E+13
        17.90313      2.050630E+13
        17.97247      2.375775E+13
        18.04181      2.668161E+13
        18.11115      3.046669E+13
        18.18048      3.362598E+13
        18.24982      3.772949E+13
        18.31916      4.099526E+13
        18.38850      4.542698E+13
        18.45783      4.860083E+13
        18.52717      5.220191E+13
        18.59651      5.518598E+13
        18.66585      5.751532E+13
        18.72132      5.952270E+13
        18.79066      6.044420E+13
        18.86000      6.219373E+13
        18.91547      6.105278E+13
        18.98481      6.114984E+13
        19.04028      5.912293E+13
        19.10962      5.678189E+13
        19.16508      5.509128E+13
        19.22056      5.122168E+13
        19.27603      4.916988E+13
        19.33150      4.568395E+13
        19.38697      4.322733E+13
        19.44244      4.186634E+13
        19.49791      4.115626E+13
        19.55338      4.295122E+13
        19.59498      4.662292E+13
        19.63659      5.211659E+13
        19.69206      6.301607E+13
        19.73366      7.478542E+13
        19.77526      9.146660E+13
        19.80300      1.047379E+14
        19.84460      1.289025E+14
        19.87234      1.482934E+14
        19.91394      1.771090E+14
        19.94168      1.847124E+14
        19.96941      1.130360E+14
        19.99714      2.971765E+13
        20.02488      1.208426E+13
        20.06648      7.195925E+12
        20.09422      7.027497E+12
        20.13582      5.777914E+12
        20.16356      5.551260E+12
        20.20516      6.523460E+12
        20.24676      5.835953E+12
        20.30223      6.320799E+12
        20.34384      7.003834E+12
        20.38544      7.818718E+12
        20.44091      7.703830E+12
        20.49638      8.108755E+12
        20.55185      9.954053E+12
        20.60732      1.047988E+13
        20.66279      1.062468E+13
        20.71826      1.211947E+13
        20.77373      1.337463E+13
        20.82920      1.398517E+13
        20.89854      1.544544E+13
        20.95401      1.650270E+13
        21.02335      1.789803E+13
        21.07882      1.903990E+13
        21.14816      2.017955E+13
        21.21750      2.189488E+13
        21.27297      2.262596E+13
        21.34231      2.385643E+13
        21.41164      2.529949E+13
        21.48098      2.570846E+13
        21.55032      2.720688E+13
        21.61966      2.736611E+13
        21.68900      2.804558E+13
        21.75833      2.844799E+13
        21.82767      2.807849E+13
        21.89701      2.842804E+13
        21.96635      2.741088E+13
        22.03569      2.722396E+13
        22.10503      2.629033E+13
        22.17436      2.539953E+13
        22.24370      2.414266E+13
        22.31304      2.279604E+13
        22.38238      2.164560E+13
        22.45172      2.027866E+13
        22.52106      1.946489E+13
        22.59039      1.869461E+13
        22.65973      1.869896E+13
        22.71520      1.893373E+13
        22.78454      2.024876E+13
        22.85388      2.245697E+13
        22.90935      2.512518E+13
        22.97869      2.953163E+13
        23.03416      3.417142E+13
        23.10350      4.167623E+13
        23.15897      4.840173E+13
        23.21444      5.630060E+13
        23.26991      6.501172E+13
        23.32538      7.562526E+13
        23.38085      8.513456E+13
        23.43632      9.493084E+13
        23.49179      1.050976E+14
        23.54726      1.155008E+14
        23.58886      1.220683E+14
        23.63047      1.236803E+14
        23.68594      1.244131E+14
        23.72754      1.231451E+14
        23.76914      1.215259E+14
        23.79688      1.158514E+14
        23.83848      9.978477E+13
        23.86622      8.318539E+13
        23.90782      5.820811E+13
        23.93556      3.829198E+13
        23.96329      2.544227E+13
        23.99103      1.723882E+13
        24.01876      2.093485E+13
        24.06036      1.476110E+13
        24.08810      1.079506E+13
        24.12970      1.121610E+13
        24.15744      1.329217E+13
        24.19904      1.574861E+13
        24.24064      1.919137E+13
        24.29611      1.318170E+13
        24.33772      1.231319E+13
        24.37932      1.418435E+13
        24.43479      1.751543E+13
        24.49026      1.577498E+13
        24.54573      1.373798E+13
        24.60120      1.547274E+13
        24.65667      1.605191E+13
        24.71214      1.507062E+13
        24.76761      1.449879E+13
        24.82308      1.487325E+13
        24.89242      1.438538E+13
        24.94789      1.402437E+13
        25.01723      1.346089E+13
        25.07270      1.299265E+13
        25.14204      1.269494E+13
        25.21138      1.190749E+13
        25.26685      1.135425E+13
        25.33619      1.113449E+13
        25.40553      1.048871E+13
        25.47486      1.007574E+13
        25.54420      1.004612E+13
        25.61354      9.838665E+12
        25.68288      1.001734E+13
        25.75222      1.062535E+13
        25.82155      1.129757E+13
        25.89089      1.232885E+13
        25.96023      1.381630E+13
        26.02957      1.574092E+13
        26.09891      1.798981E+13
        26.16825      2.064386E+13
        26.23759      2.391607E+13
        26.30692      2.755401E+13
        26.37626      3.155256E+13
        26.44560      3.578074E+13
        26.51494      4.059760E+13
        26.58427      4.541153E+13
        26.65361      5.022616E+13
        26.70908      5.424595E+13
        26.77842      5.851981E+13
        26.84776      6.317178E+13
        26.90323      6.570468E+13
        26.97257      6.931241E+13
        27.02804      7.003060E+13
        27.09738      7.163917E+13
        27.15285      7.112653E+13
        27.20832      7.125005E+13
        27.26379      6.785207E+13
        27.31926      6.515558E+13
        27.37473      6.112105E+13
        27.43020      5.993442E+13
        27.48567      5.415176E+13
        27.54114      4.884880E+13
        27.58274      4.671378E+13
        27.62435      4.715466E+13
        27.67982      5.149829E+13
        27.72142      5.529676E+13
        27.76303      5.816513E+13
        27.79076      6.498014E+13
        27.83236      7.958938E+13
        27.86010      9.315839E+13
        27.90170      1.171846E+14
        27.92944      1.262051E+14
        27.95717      8.499874E+13
        27.98491      2.667320E+13
        28.01264      1.020183E+13
        28.05424      7.201159E+12
        28.08198      6.798558E+12
        28.12358      7.688208E+12
        28.15132      8.240213E+12
        28.19292      8.781501E+12
        28.23453      7.575645E+12
        28.29000      6.204089E+12
        28.33160      5.495663E+12
        28.37320      5.772611E+12
        28.42867      6.323890E+12
        28.48414      6.433930E+12
        28.53961      6.616717E+12
        28.59508      6.542064E+12
        28.65055      6.428909E+12
        28.70602      6.715626E+12
        28.76150      7.406437E+12
        28.81697      8.189136E+12
        28.88630      8.783151E+12
        28.94177      9.355164E+12
        29.01111      1.045671E+13
        29.06658      1.154279E+13
        29.13592      1.297460E+13
        29.20526      1.445628E+13
        29.26073      1.572988E+13
        29.33007      1.756550E+13
        29.39941      1.949503E+13
        29.46875      2.173308E+13
        29.53808      2.395265E+13
        29.60742      2.618771E+13
        29.67676      2.795723E+13
        29.74610      3.004629E+13
        29.81544      3.214081E+13
        29.88478      3.374376E+13
        29.95411      3.539407E+13
        30.02345      3.659219E+13
        30.09279      3.753408E+13
        30.16213      3.853958E+13
        30.23147      3.862944E+13
        30.30080      3.849839E+13
        30.37014      3.825225E+13
        30.43948      3.728584E+13
        30.50882      3.627623E+13
        30.57816      3.468217E+13
        30.64750      3.314836E+13
        30.70296      3.194629E+13
        30.77230      3.001810E+13
        30.84164      2.873806E+13
        30.89711      2.779315E+13
        30.96645      2.758679E+13
        31.02192      2.782196E+13
        31.09126      2.912157E+13
        31.14673      3.108954E+13
        31.20220      3.394272E+13
        31.25767      3.806903E+13
        31.31314      4.364898E+13
        31.36861      5.028106E+13
        31.42408      5.742930E+13
        31.47956      6.468784E+13
        31.53502      7.279682E+13
        31.57663      7.846655E+13
        31.61823      8.425109E+13
        31.67370      9.002769E+13
        31.71530      9.215757E+13
        31.75691      9.127907E+13
        31.78464      8.679273E+13
        31.82624      7.667637E+13
        31.85398      6.695044E+13
        31.89558      4.914105E+13
        31.92332      3.342421E+13
        31.95105      1.713911E+13
        31.97879      1.153936E+13
        32.00653      1.289391E+13
