    undulator B at 12 keV FHE  
    _________________________  
                               
              E            flux
        16.1833     1.06934E+14
        16.2667     1.48703E+14
        16.3500     1.14565E+14
        16.4333     1.39739E+14
        16.5000     1.37680E+14
        16.5833     1.25200E+14
        16.6667     1.30778E+14
        16.7500     1.73683E+14
        16.8333     1.21364E+14
        16.9167     1.35911E+14
        17.0000     1.66872E+14
        17.0833     1.46828E+14
        17.1667     1.49412E+14
        17.2500     1.57528E+14
        17.3333     1.45215E+14
        17.4167     1.64005E+14
        17.5000     1.86600E+14
        17.5833     1.30104E+14
        17.6667     1.64556E+14
        17.7500     1.88859E+14
        17.8333     1.68428E+14
        17.9167     1.49991E+14
        18.0000     1.86259E+14
        18.0833     1.65724E+14
        18.1667     1.91193E+14
        18.2500     1.79237E+14
        18.3333     1.55987E+14
        18.4167     1.86274E+14
        18.5000     2.16951E+14
        18.5833     1.62493E+14
        18.6667     1.71165E+14
        18.7500     2.08068E+14
        18.8333     1.88971E+14
        18.9167     1.97042E+14
        19.0000     1.88709E+14
        19.0833     1.79252E+14
        19.1667     2.06680E+14
        19.2500     2.29742E+14
        19.3333     1.61236E+14
        19.4167     1.98769E+14
        19.5000     2.25536E+14
        19.5667     2.12819E+14
        19.6500     1.90287E+14
        19.7333     2.05834E+14
        19.8167     1.98908E+14
        19.9000     2.32535E+14
        19.9833     2.10402E+14
        20.0500     1.72573E+14
        20.1333     2.13667E+14
        20.2167     2.53928E+14
        20.3000     1.91719E+14
        20.3667     1.77914E+14
        20.4500     2.27121E+14
        20.5333     2.19475E+14
        20.6000     2.33894E+14
        20.6833     2.00868E+14
        20.7667     1.83812E+14
        20.8333     2.34960E+14
        20.9167     2.40838E+14
        20.9833     1.68338E+14
        21.0667     2.09811E+14
        21.1333     2.39675E+14
        21.2167     2.14488E+14
        21.2833     2.06436E+14
        21.3500     1.89745E+14
        21.4333     2.07362E+14
        21.5000     2.42029E+14
        21.5667     2.23688E+14
        21.6500     1.64349E+14
        21.7167     2.22545E+14
        21.7833     2.19979E+14
        21.8500     1.84390E+14
        21.9167     1.99486E+14
        21.9833     1.98759E+14
        22.0500     2.03119E+14
        22.1167     2.12729E+14
        22.1833     1.66475E+14
        22.2500     1.84397E+14
        22.3167     2.14520E+14
        22.3833     1.78456E+14
        22.4333     1.39282E+14
        22.5000     1.92867E+14
        22.5667     2.08046E+14
        22.6333     1.77956E+14
        22.6833     1.47454E+14
        22.7500     1.48030E+14
        22.8000     1.87940E+14
        22.8667     1.47264E+14
        22.9167     1.35422E+14
        22.9667     1.80054E+14
        23.0333     1.62868E+14
        23.0833     1.46234E+14
        23.1333     1.20618E+14
        23.1833     1.34037E+14
        23.2333     1.48524E+14
        23.2833     1.35774E+14
        23.3333     1.24275E+14
