    undulator B at 14 keV FHE  
    _________________________  
                               
              E            flux
        10.8306     2.58303E+14
        10.9083     2.08273E+14
        11.0056     2.54776E+14
        11.0833     2.45568E+14
        11.1611     2.27118E+14
        11.2583     2.68706E+14
        11.3361     2.50690E+14
        11.4139     2.39044E+14
        11.4917     2.97112E+14
        11.5694     2.40401E+14
        11.6472     2.78913E+14
        11.7250     2.95145E+14
        11.8028     2.56194E+14
        11.8806     3.05985E+14
        11.9583     2.95544E+14
        12.0361     2.77334E+14
        12.1139     3.32935E+14
        12.1722     3.00049E+14
        12.2500     3.01678E+14
        12.3278     3.47423E+14
        12.4056     2.95923E+14
        12.4639     3.35026E+14
        12.5417     3.46283E+14
        12.6000     3.13509E+14
        12.6778     3.70576E+14
        12.7361     3.50176E+14
        12.7944     3.39064E+14
        12.8722     3.80393E+14
        12.9306     3.55756E+14
        12.9889     3.72241E+14
        13.0472     3.88533E+14
        13.1056     3.72926E+14
        13.1639     3.88636E+14
        13.2222     4.00560E+14
        13.2806     3.93381E+14
        13.3389     4.02947E+14
        13.3972     4.09320E+14
        13.4556     4.16108E+14
        13.4944     4.18506E+14
        13.5528     4.21101E+14
        13.6111     4.24367E+14
        13.6500     4.29450E+14
        13.7083     4.39513E+14
        13.7472     4.35793E+14
        13.7861     4.31290E+14
        13.8444     4.36329E+14
        13.8833     4.39066E+14
        13.9222     4.21262E+14
        13.9611     3.48775E+14
        14.0000     2.37590E+14
        14.0389     1.31404E+14
        14.0778     5.96856E+13
        14.1167     3.55093E+13
        14.1556     3.73689E+13
        14.2139     3.44850E+13
        14.2528     2.06283E+13
        14.2917     1.94002E+13
        14.3500     2.33905E+13
        14.3889     2.52907E+13
        14.4472     2.51985E+13
        14.5056     1.85762E+13
        14.5444     1.74419E+13
        14.6028     1.86444E+13
        14.6611     2.95886E+13
        14.7194     2.10637E+13
        14.7778     1.46265E+13
        14.8361     1.95433E+13
        14.8944     2.46911E+13
        14.9528     2.70701E+13
        15.0111     2.03570E+13
        15.0694     1.48668E+13
        15.1278     2.34581E+13
        15.2056     3.01989E+13
        15.2639     1.68073E+13
        15.3222     2.27345E+13
        15.4000     2.45395E+13
        15.4583     3.28376E+13
        15.5361     1.92324E+13
        15.5944     1.93492E+13
        15.6722     3.00685E+13
        15.7500     3.30232E+13
        15.8278     2.43995E+13
        15.8861     2.22470E+13
        15.9639     3.67022E+13
        16.0417     3.21774E+13
        16.1194     2.44082E+13
        16.1972     3.31434E+13
        16.2750     3.77749E+13
        16.3528     3.11937E+13
        16.4306     2.53287E+13
        16.5083     4.52600E+13
        16.5861     4.00637E+13
        16.6639     2.62000E+13
        16.7417     3.72936E+13
        16.8389     4.90543E+13
        16.9167     3.93868E+13
        16.9944     3.08604E+13
        17.0917     5.14358E+13
        17.1694     3.88018E+13
        17.2472     4.31109E+13
        17.3444     4.43125E+13
        17.4222     5.63782E+13
        17.5194     3.49757E+13
        17.5972     4.70377E+13
        17.6944     5.63493E+13
        17.7722     5.29947E+13
        17.8694     4.30073E+13
        17.9667     5.93220E+13
        18.0444     5.78806E+13
        18.1417     5.24175E+13
        18.2389     5.66218E+13
        18.3167     6.03080E+13
        18.4139     5.11967E+13
        18.5111     5.56114E+13
        18.6083     7.59792E+13
        18.6861     5.05852E+13
        18.7833     5.65004E+13
        18.8806     6.59891E+13
        18.9778     7.03337E+13
        19.0750     5.67708E+13
        19.1722     7.03715E+13
        19.2500     6.37306E+13
        19.3472     6.31737E+13
        19.4444     6.98518E+13
        19.5417     8.25786E+13
        19.6389     5.11649E+13
        19.7361     7.02958E+13
        19.8333     8.03747E+13
        19.9306     7.84478E+13
        20.0278     5.64372E+13
        20.1250     8.32101E+13
        20.2222     6.88684E+13
        20.3194     8.02721E+13
        20.4167     7.87679E+13
        20.5139     7.81806E+13
        20.6111     6.27281E+13
        20.7083     8.70759E+13
        20.8056     9.24653E+13
        20.9028     7.15997E+13
        21.0000     7.00128E+13
        21.0972     9.23207E+13
        21.1944     8.22951E+13
        21.2917     8.60395E+13
        21.3889     8.34080E+13
        21.4861     7.84155E+13
        21.5833     8.05325E+13
        21.6806     1.05949E+14
        21.7778     8.33171E+13
        21.8750     7.09944E+13
        21.9722     9.22083E+13
        22.0694     1.03549E+14
        22.1667     8.53546E+13
        22.2639     8.10550E+13
        22.3611     9.52384E+13
        22.4583     8.60117E+13
        22.5556     1.02040E+14
        22.6528     9.58436E+13
        22.7500     8.02318E+13
        22.8278     7.84127E+13
        22.9250     1.10814E+14
        23.0222     1.01692E+14
        23.1194     8.05885E+13
        23.2167     9.17778E+13
        23.3139     9.86651E+13
        23.3917     9.20367E+13
        23.4889     1.03297E+14
        23.5861     9.17343E+13
        23.6833     8.36448E+13
        23.7611     9.31550E+13
        23.8583     1.18751E+14
        23.9556     7.79659E+13
        24.0333     8.59010E+13
        24.1306     9.76770E+13
        24.2278     1.10023E+14
        24.3056     8.75286E+13
        24.4028     9.56571E+13
        24.4806     8.48715E+13
        24.5778     9.51925E+13
        24.6556     1.05109E+14
        24.7528     9.53200E+13
        24.8306     7.56870E+13
        24.9083     9.03168E+13
        25.0056     1.03715E+14
        25.0833     9.24788E+13
        25.1611     7.20076E+13
        25.2583     9.74709E+13
        25.3361     8.91930E+13
        25.4139     9.99086E+13
        25.4917     8.24410E+13
        25.5694     7.46702E+13
        25.6472     7.84065E+13
        25.7250     1.03253E+14
        25.8028     8.10713E+13
        25.8806     6.93344E+13
        25.9583     7.89646E+13
        26.0361     9.21309E+13
        26.1139     8.10576E+13
        26.1722     7.58937E+13
        26.2500     6.41101E+13
        26.3278     6.66213E+13
        26.4056     8.68309E+13
        26.4639     7.54041E+13
        26.5417     5.73643E+13
        26.6000     7.69698E+13
        26.6778     7.37311E+13
        26.7361     6.00975E+13
        26.7944     5.45783E+13
        26.8722     5.58111E+13
        26.9306     6.37364E+13
        26.9889     6.50885E+13
        27.0472     5.48712E+13
        27.1056     4.76664E+13
        27.1639     5.39246E+13
        27.2222     5.56175E+13
        27.2806     5.53014E+13
        27.3389     4.52125E+13
        27.3972     4.34786E+13
        27.4556     4.24737E+13
        27.4944     4.11588E+13
        27.5528     3.62579E+13
        27.6111     3.49585E+13
        27.6500     3.45078E+13
        27.7083     2.79953E+13
        27.7472     2.50313E+13
        27.7861     3.03110E+13
        27.8444     4.10978E+13
        27.8833     4.25026E+13
        27.9222     3.43658E+13
        27.9611     2.01244E+13
        28.0000     1.62755E+13
        28.0389     1.97918E+13
        28.0778     1.59439E+13
        28.1167     1.43156E+13
        28.1556     2.10379E+13
        28.2139     1.81134E+13
        28.2528     1.61644E+13
        28.2917     1.99430E+13
        28.3500     2.15274E+13
        28.3889     2.65264E+13
        28.4472     2.92910E+13
        28.5056     2.43080E+13
        28.5444     2.41967E+13
        28.6028     2.12691E+13
        28.6611     1.91128E+13
        28.7194     2.33596E+13
        28.7778     2.06822E+13
        28.8361     1.92028E+13
        28.8944     2.01833E+13
        28.9528     1.84838E+13
        29.0111     1.95072E+13
        29.0694     2.68638E+13
        29.1278     2.39043E+13
        29.2056     2.58295E+13
        29.2639     3.44018E+13
        29.3222     2.92272E+13
        29.4000     1.36038E+13
        29.4583     1.54902E+13
        29.5361     1.60909E+13
        29.5944     2.31179E+13
        29.6722     2.40109E+13
        29.7500     2.57004E+13
        29.8278     2.89092E+13
        29.8861     3.37112E+13
        29.9639     2.20330E+13
