    undulator B at 14 keV FHE  
    _________________________  
                               
              E            flux
  _____________   _____________
                               
        1.01111     1.04989E+11
        1.06944     1.00317E+11
        1.12778     1.13688E+11
        1.20556     1.02070E+11
        1.26389     1.13950E+11
        1.32222     1.11400E+11
        1.40000     1.12554E+11
        1.45833     1.18309E+11
        1.53611     1.12078E+11
        1.59444     1.22637E+11
        1.67222     1.14353E+11
        1.75000     1.26200E+11
        1.82778     1.18680E+11
        1.88611     1.28078E+11
        1.96389     1.24030E+11
        2.04167     1.32259E+11
        2.11944     1.28638E+11
        2.19722     1.36718E+11
        2.27500     1.33489E+11
        2.35278     1.41472E+11
        2.43056     1.38611E+11
        2.50833     1.46546E+11
        2.58611     1.44043E+11
        2.66389     1.51977E+11
        2.74167     1.49826E+11
        2.83889     1.59660E+11
        2.91667     1.55705E+11
        2.99444     1.65915E+11
        3.09167     1.64199E+11
        3.16944     1.72603E+11
        3.24722     1.71376E+11
        3.34444     1.78642E+11
        3.42222     1.82354E+11
        3.51944     1.85493E+11
        3.59722     1.94446E+11
        3.69444     1.94630E+11
        3.77222     2.06427E+11
        3.86944     2.07855E+11
        3.96667     2.16286E+11
        4.04445     2.21163E+11
        4.14167     2.28241E+11
        4.23889     2.38475E+11
        4.31667     2.37848E+11
        4.41389     2.52318E+11
        4.51111     2.66013E+11
        4.60833     2.78547E+11
        4.68611     2.98240E+11
        4.78333     3.10071E+11
        4.88056     3.82047E+11
        4.97778     5.29746E+11
        5.07500     1.01350E+12
        5.17222     1.64358E+12
        5.25000     2.24009E+12
        5.34722     3.12082E+12
        5.44445     3.94798E+12
        5.54167     4.88276E+12
        5.63889     5.85113E+12
        5.73611     6.89773E+12
        5.83333     8.00140E+12
        5.93056     9.09325E+12
        6.02778     1.00784E+13
        6.12500     1.08657E+13
        6.22222     1.15245E+13
        6.31945     1.24117E+13
        6.41667     1.37018E+13
        6.51389     1.60790E+13
        6.61111     1.85208E+13
        6.70833     1.90703E+13
        6.80556     1.77794E+13
        6.90278     1.71695E+13
        7.00000     2.08301E+13
        7.09722     2.71767E+13
        7.19445     2.91483E+13
        7.29167     2.54738E+13
        7.38889     2.54139E+13
        7.48611     3.42141E+13
        7.58333     4.03351E+13
        7.68056     3.62232E+13
        7.77778     3.66312E+13
        7.87500     4.87902E+13
        7.97222     5.30173E+13
        8.06944     4.84626E+13
        8.16667     5.80728E+13
        8.26389     7.12533E+13
        8.36111     6.73886E+13
        8.45833     7.65704E+13
        8.55556     9.25883E+13
        8.65278     9.68793E+13
        8.75000     9.86490E+13
        8.82778     1.23663E+14
        8.92500     1.14304E+14
        9.02222     1.39323E+14
        9.11944     1.48632E+14
        9.21667     1.39342E+14
        9.31389     1.74910E+14
        9.39167     1.42127E+14
        9.48889     1.84889E+14
        9.58611     1.65344E+14
        9.68333     1.78965E+14
        9.76111     1.96887E+14
        9.85833     1.66611E+14
        9.95556     2.05969E+14
        10.0333     1.73971E+14
        10.1306     2.02186E+14
        10.2278     2.01289E+14
        10.3056     1.80765E+14
        10.4028     2.32918E+14
        10.4806     1.81700E+14
        10.5778     2.32388E+14
        10.6556     2.22255E+14
        10.7528     2.04130E+14
