  k = 1.24, E1 = 8, 3.4 x 1.5 mm
  ______________________________
                                
              E               F 
        16.2500    3.63895E+013 
        16.2917    3.55807E+013 
        16.3333    3.16098E+013 
        16.3611    2.52450E+013 
        16.4028    2.73462E+013 
        16.4444    3.37141E+013 
        16.4861    3.47820E+013 
        16.5278    4.10966E+013 
        16.5694    4.13395E+013 
        16.6250    2.64048E+013 
        16.6667    3.42652E+013 
        16.7083    3.51913E+013 
        16.7639    4.12387E+013 
        16.8056    5.02210E+013 
        16.8611    3.25861E+013 
        16.9028    3.65894E+013 
        16.9583    3.57917E+013 
        17.0000    4.05838E+013 
        17.0556    5.32841E+013 
        17.1111    4.03169E+013 
        17.1667    4.14417E+013 
        17.2222    3.87876E+013 
        17.2778    5.06120E+013 
        17.3333    5.32959E+013 
        17.3889    4.72546E+013 
        17.4444    4.12691E+013 
        17.5000    4.88490E+013 
        17.5556    5.36820E+013 
        17.6111    5.95075E+013 
        17.6806    4.49023E+013 
        17.7361    5.03260E+013 
        17.7917    5.44403E+013 
        17.8611    6.50390E+013 
        17.9167    5.44573E+013 
        17.9861    5.24706E+013 
        18.0417    5.62923E+013 
        18.1111    6.91825E+013 
        18.1667    6.21657E+013 
        18.2361    5.49444E+013 
        18.3056    5.94145E+013 
        18.3611    7.15088E+013 
        18.4306    6.82424E+013 
        18.5000    5.75113E+013 
        18.5556    6.05808E+013 
        18.6250    7.28569E+013 
        18.6944    7.41940E+013 
        18.7639    6.13812E+013 
        18.8333    6.53563E+013 
        18.8889    7.38297E+013 
        18.9583    7.71867E+013 
        19.0278    6.65249E+013 
        19.0972    6.71004E+013 
        19.1667    7.79583E+013 
        19.2361    7.52109E+013 
        19.3056    6.85215E+013 
        19.3750    7.31341E+013 
        19.4444    7.89632E+013 
        19.5139    7.32522E+013 
        19.5833    6.88067E+013 
        19.6528    7.67630E+013 
        19.7222    8.08493E+013 
        19.7917    7.01004E+013 
        19.8611    6.74732E+013 
        19.9306    7.90299E+013 
        20.0000    7.95921E+013 
        20.0694    6.80649E+013 
        20.1389    6.78829E+013 
        20.2083    7.59282E+013 
        20.2778    7.51989E+013 
        20.3472    6.74789E+013 
        20.4167    6.90356E+013 
        20.4861    7.27120E+013 
        20.5556    6.54963E+013 
        20.6250    6.63980E+013 
        20.6944    7.23390E+013 
        20.7639    6.61962E+013 
        20.8333    5.91765E+013 
        20.9028    6.28959E+013 
        20.9722    7.11375E+013 
        21.0417    6.30512E+013 
        21.1111    5.69767E+013 
        21.1667    6.21148E+013 
        21.2361    6.26596E+013 
        21.3056    6.11405E+013 
        21.3750    6.39415E+013 
        21.4444    6.43345E+013 
        21.5000    5.82113E+013 
        21.5694    5.74920E+013 
        21.6389    6.99170E+013 
        21.6944    7.00258E+013 
        21.7639    6.11108E+013 
        21.8333    6.45171E+013 
        21.8889    6.90753E+013 
        21.9583    6.43299E+013 
        22.0139    6.94309E+013 
        22.0833    7.99477E+013 
        22.1389    6.71071E+013 
        22.2083    6.54833E+013 
        22.2639    7.60365E+013 
        22.3194    7.60336E+013 
        22.3889    7.62411E+013 
        22.4444    7.96709E+013 
        22.5000    7.66992E+013 
        22.5556    7.13064E+013 
        22.6111    7.50515E+013 
        22.6667    8.56549E+013 
        22.7222    8.51756E+013 
        22.7778    8.45920E+013 
        22.8333    8.60335E+013 
        22.8889    8.36947E+013 
        22.9444    7.99743E+013 
        23.0000    1.00527E+014 
        23.0417    9.51381E+013 
        23.0972    1.00552E+014 
        23.1389    1.07434E+014 
        23.1944    9.88537E+013 
        23.2361    9.70341E+013 
        23.2917    1.08035E+014 
        23.3333    1.13898E+014 
        23.3750    1.18450E+014 
        23.4306    1.27757E+014 
        23.4722    1.33752E+014 
        23.5139    1.32219E+014 
        23.5556    1.30027E+014 
        23.5972    1.29126E+014 
        23.6389    1.40491E+014 
        23.6667    1.51012E+014 
        23.7083    1.50404E+014 
        23.7500    1.59796E+014 
        23.7778    1.72062E+014 
