  k = 1.49, E3 = 20, 3.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.01157    3.02432E+013  
        5.06944    3.48010E+013  
        5.11574    3.89546E+013  
        5.17361    4.45662E+013  
        5.21991    4.96829E+013  
        5.26620    5.53249E+013  
        5.32407    6.31693E+013  
        5.37037    7.01461E+013  
        5.41667    7.79749E+013  
        5.46296    8.65126E+013  
        5.50926    9.60165E+013  
        5.55556    1.06618E+014  
        5.60185    1.18299E+014  
        5.64815    1.31440E+014  
        5.69444    1.46138E+014  
        5.74074    1.62666E+014  
        5.78704    1.81553E+014  
        5.83333    2.03191E+014  
        5.86806    2.21768E+014  
        5.91435    2.50117E+014  
        5.94907    2.75076E+014  
        5.99537    3.13284E+014  
        6.03009    3.46493E+014  
        6.07639    3.95164E+014  
        6.11111    4.34018E+014  
        6.14583    4.72762E+014  
        6.19213    5.20067E+014  
        6.22685    5.51277E+014  
        6.26157    5.76372E+014  
        6.29630    5.97615E+014  
        6.33102    6.15097E+014  
        6.36574    6.28925E+014  
        6.38889    6.38540E+014  
        6.42361    6.51563E+014  
        6.45833    6.61570E+014  
        6.48148    6.70329E+014  
        6.51620    6.81225E+014  
        6.53935    6.82483E+014  
        6.57407    6.90455E+014  
        6.59722    6.94508E+014  
        6.62037    6.58759E+014  
        6.64352    5.47809E+014  
        6.66667    3.72963E+014  
        6.68981    1.96199E+014  
        6.71296    7.97466E+013  
        6.73611    3.58575E+013  
        6.75926    3.06708E+013  
        6.79398    2.49953E+013  
        6.81713    1.72493E+013  
        6.85185    1.42132E+013  
        6.87500    1.36677E+013  
        6.90972    9.97528E+012  
        6.94444    8.91826E+012  
        6.96759    8.68487E+012  
        7.00231    6.93060E+012  
        7.03704    6.46551E+012  
        7.07176    6.12514E+012  
        7.10648    5.12436E+012  
        7.14120    5.20101E+012  
        7.18750    4.52883E+012  
        7.22222    4.34973E+012  
        7.25694    4.39302E+012  
        7.30324    3.96101E+012  
        7.33796    3.98296E+012  
        7.38426    3.92902E+012  
        7.41898    3.86720E+012  
        7.46528    3.73221E+012  
        7.50000    4.01852E+012  
        7.54630    3.77666E+012  
        7.59259    3.97100E+012  
        7.63889    4.25351E+012  
        7.68518    4.01146E+012  
        7.73148    4.63885E+012  
        7.77778    4.45681E+012  
        7.82407    4.69037E+012  
        7.87037    5.40112E+012  
        7.91667    4.96450E+012  
        7.96296    5.79128E+012  
        8.00926    6.05771E+012  
        8.06713    6.18404E+012  
        8.11343    7.32563E+012  
        8.15972    6.71754E+012  
        8.21759    8.21044E+012  
        8.26389    8.26539E+012  
        8.32176    8.72587E+012  
        8.36806    1.02631E+013  
        8.42593    9.49639E+012  
        8.47222    1.16046E+013  
        8.53009    1.12954E+013  
        8.58796    1.29602E+013  
        8.63426    1.42608E+013  
        8.69213    1.36918E+013  
        8.75000    1.70321E+013  
        8.79630    1.57314E+013  
        8.85417    1.86796E+013  
        8.91204    1.91819E+013  
        8.96991    2.04306E+013  
        9.02778    2.34366E+013  
        9.07407    2.19557E+013  
        9.13194    2.70906E+013  
        9.18981    2.59198E+013  
        9.24769    2.96890E+013  
        9.30556    3.14482E+013  
