 flux tru 4x2 mm ap., at 28m, k=2 
 ________________________________ 
                                  
          energy              flux
  ______________    ______________
                                  
       0.0000000        0.08573619
      0.02209743      1.454119E+11
      0.04419487      1.593747E+10
      0.07734102      3.645178E+10
      0.09943845      1.200215E+11
       0.1325846      5.982412E+10
       0.1546820      9.657515E+10
       0.1878282      1.155353E+11
       0.2209743      7.842475E+10
       0.2651692      8.388050E+10
       0.2983153      6.661793E+10
       0.3314615      9.216333E+10
       0.3756564      9.422166E+10
       0.4198512      9.677085E+10
       0.4640461      9.966251E+10
       0.5082410      1.028123E+11
       0.5524359      1.061748E+11
       0.5966307      1.097326E+11
       0.6408256      1.134857E+11
       0.6850204      1.174446E+11
       0.7402641      1.126870E+11
       0.7844589      1.175517E+11
       0.8397025      1.331604E+11
       0.8838974      1.382393E+11
       0.9391410      1.535408E+11
       0.9943845      1.524388E+11
        1.038579      1.587821E+11
        1.093823      1.597194E+11
        1.149067      1.766044E+11
        1.204310      1.938659E+11
        1.259554      1.979864E+11
        1.314797      2.036337E+11
        1.370041      2.238415E+11
        1.425284      2.452213E+11
        1.480528      2.557465E+11
        1.535772      2.685535E+11
        1.591015      2.961719E+11
        1.646259      3.294316E+11
        1.701502      3.618008E+11
        1.756746      3.983809E+11
        1.811990      4.588573E+11
        1.867233      5.391375E+11
        1.922477      6.394036E+11
        1.977720      7.944125E+11
        2.032964      1.055645E+12
        2.088207      1.469039E+12
        2.143451      2.107652E+12
        2.187646      2.884826E+12
        2.242889      4.321304E+12
        2.298133      6.532846E+12
        2.342328      9.049409E+12
        2.397572      1.350070E+13
        2.441767      1.841009E+13
        2.497010      2.679568E+13
        2.541205      3.582331E+13
        2.585400      4.749514E+13
        2.629595      6.250894E+13
        2.673790      8.181176E+13
        2.717984      1.067350E+14
        2.762179      1.388577E+14
        2.806374      1.806515E+14
        2.850569      2.351715E+14
        2.883715      2.865362E+14
        2.916861      3.476260E+14
        2.961056      4.447888E+14
        2.994202      5.264572E+14
        3.027349      6.120257E+14
        3.049446      6.675431E+14
        3.082592      7.411918E+14
        3.104690      7.862441E+14
        3.137836      8.247094E+14
        3.159933      7.947730E+14
        3.182030      4.505491E+14
        3.204128      9.434569E+13
        3.226225      3.496032E+13
        3.259372      1.636580E+13
        3.281469      1.479779E+13
        3.314615      9.086833E+12
        3.336713      7.510072E+12
        3.369859      6.039617E+12
        3.403005      4.515098E+12
        3.447200      3.499603E+12
        3.480346      2.867648E+12
        3.513492      2.582919E+12
        3.557687      2.182763E+12
        3.601882      1.896655E+12
        3.646077      1.694897E+12
        3.690271      1.554373E+12
        3.734467      1.463388E+12
        3.778661      1.418939E+12
        3.822856      1.418261E+12
        3.867051      1.459662E+12
        3.922295      1.562915E+12
        3.966489      1.714498E+12
        4.021733      1.980206E+12
        4.065928      2.274539E+12
        4.121171      2.766233E+12
        4.176415      3.414230E+12
        4.220610      4.054748E+12
        4.275854      5.052194E+12
        4.331097      6.298678E+12
        4.386341      7.861026E+12
        4.441584      9.792301E+12
        4.496828      1.213323E+13
        4.552072      1.493423E+13
        4.607315      1.828559E+13
        4.662559      2.230011E+13
        4.717802      2.707196E+13
        4.773046      3.265252E+13
