  k = 1.49, E3 = 20, 1.4 x 1.5 mm
  _______________________________
                                 
              E               F  
  _____________   _____________  
                                 
        5.01157    7.22900E+012  
        5.06944    8.66025E+012  
        5.11574    1.00602E+013  
        5.17361    1.20169E+013  
        5.21991    1.39024E+013  
        5.26620    1.60306E+013  
        5.32407    1.91715E+013  
        5.37037    2.20886E+013  
        5.41667    2.54635E+013  
        5.46296    2.93216E+013  
        5.50926    3.37640E+013  
        5.55556    3.88978E+013  
        5.60185    4.47969E+013  
        5.64815    5.16444E+013  
        5.69444    5.95938E+013  
        5.74074    6.88612E+013  
        5.78704    7.97989E+013  
        5.83333    9.27730E+013  
        5.86806    1.04220E+014  
        5.91435    1.22157E+014  
        5.94907    1.38360E+014  
        5.99537    1.63691E+014  
        6.03009    1.86165E+014  
        6.07639    2.19645E+014  
        6.11111    2.46835E+014  
        6.14583    2.74327E+014  
        6.19213    3.08626E+014  
        6.22685    3.31835E+014  
        6.26157    3.51203E+014  
        6.29630    3.68207E+014  
        6.33102    3.82945E+014  
        6.36574    3.95426E+014  
        6.38889    4.04173E+014  
        6.42361    4.16599E+014  
        6.45833    4.27197E+014  
        6.48148    4.35880E+014  
        6.51620    4.47616E+014  
        6.53935    4.51441E+014  
        6.57407    4.61620E+014  
        6.59722    4.67699E+014  
        6.62037    4.46319E+014  
        6.64352    3.72697E+014  
        6.66667    2.54189E+014  
        6.68981    1.33413E+014  
        6.71296    5.35558E+013  
        6.73611    2.34515E+013  
        6.75926    1.99905E+013  
        6.79398    1.62293E+013  
        6.81713    1.09323E+013  
        6.85185    8.88956E+012  
        6.87500    8.57118E+012  
        6.90972    6.03483E+012  
        6.94444    5.29650E+012  
        6.96759    5.17589E+012  
        7.00231    3.96814E+012  
        7.03704    3.60547E+012  
        7.07176    3.37065E+012  
        7.10648    2.69899E+012  
        7.14120    2.67793E+012  
        7.18750    2.19612E+012  
        7.22222    2.07123E+012  
        7.25694    1.98714E+012  
        7.30324    1.67364E+012  
        7.33796    1.67737E+012  
        7.38426    1.42873E+012  
        7.41898    1.42686E+012  
        7.46528    1.26432E+012  
        7.50000    1.23906E+012  
        7.54630    1.15785E+012  
        7.59259    1.09771E+012  
        7.63889    1.06458E+012  
        7.68518    9.97869E+011  
        7.73148    9.98196E+011  
        7.77778    9.48910E+011  
        7.82407    9.36425E+011  
        7.87037    9.54123E+011  
        7.91667    9.06858E+011  
        7.96296    9.45721E+011  
        8.00926    9.48185E+011  
        8.06713    9.55794E+011  
        8.11343    1.01919E+012  
        8.15972    9.84974E+011  
        8.21759    1.08990E+012  
        8.26389    1.11043E+012  
        8.32176    1.15112E+012  
        8.36806    1.29864E+012  
        8.42593    1.25311E+012  
        8.47222    1.45752E+012  
        8.53009    1.46494E+012  
        8.58796    1.64924E+012  
        8.63426    1.81169E+012  
        8.69213    1.80749E+012  
        8.75000    2.19413E+012  
        8.79630    2.11651E+012  
        8.85417    2.49930E+012  
        8.91204    2.63079E+012  
        8.96991    2.86642E+012  
        9.02778    3.30325E+012  
        9.07407    3.22184E+012  
        9.13194    3.96613E+012  
        9.18981    3.94943E+012  
        9.24769    4.58698E+012  
        9.30556    4.96929E+012  
