  k = 1.24, E1 = 8, 1.4 x 1.5 mm
  ______________________________
                                
              E               F 
        16.2500    6.42841E+012 
        16.2917    6.24690E+012 
        16.3333    5.90027E+012 
        16.3611    4.80361E+012 
        16.4028    5.08719E+012 
        16.4444    6.31407E+012 
        16.4861    6.31534E+012 
        16.5278    7.32235E+012 
        16.5694    7.57666E+012 
        16.6250    4.98487E+012 
        16.6667    6.60956E+012 
        16.7083    6.72593E+012 
        16.7639    7.72389E+012 
        16.8056    9.50576E+012 
        16.8611    6.12125E+012 
        16.9028    7.25921E+012 
        16.9583    7.09369E+012 
        17.0000    8.05467E+012 
        17.0556    1.05442E+013 
        17.1111    8.04216E+012 
        17.1667    8.48667E+012 
        17.2222    8.01779E+012 
        17.2778    1.06957E+013 
        17.3333    1.10047E+013 
        17.3889    1.01726E+013 
        17.4444    8.73309E+012 
        17.5000    1.07064E+013 
        17.5556    1.18130E+013 
        17.6111    1.31850E+013 
        17.6806    1.01332E+013 
        17.7361    1.14188E+013 
        17.7917    1.24157E+013 
        17.8611    1.52396E+013 
        17.9167    1.28477E+013 
        17.9861    1.26614E+013 
        18.0417    1.33979E+013 
        18.1111    1.68248E+013 
        18.1667    1.54014E+013 
        18.2361    1.39949E+013 
        18.3056    1.49997E+013 
        18.3611    1.80562E+013 
        18.4306    1.76151E+013 
        18.5000    1.53271E+013 
        18.5556    1.62524E+013 
        18.6250    1.94372E+013 
        18.6944    1.97950E+013 
        18.7639    1.70115E+013 
        18.8333    1.84846E+013 
        18.8889    2.07606E+013 
        18.9583    2.16888E+013 
        19.0278    1.88458E+013 
        19.0972    1.96875E+013 
        19.1667    2.31818E+013 
        19.2361    2.22703E+013 
        19.3056    2.01456E+013 
        19.3750    2.20801E+013 
        19.4444    2.44267E+013 
        19.5139    2.28246E+013 
        19.5833    2.13666E+013 
        19.6528    2.36515E+013 
        19.7222    2.57698E+013 
        19.7917    2.27682E+013 
        19.8611    2.18945E+013 
        19.9306    2.55932E+013 
        20.0000    2.55787E+013 
        20.0694    2.24907E+013 
        20.1389    2.30766E+013 
        20.2083    2.56146E+013 
        20.2778    2.49785E+013 
        20.3472    2.21321E+013 
        20.4167    2.37257E+013 
        20.4861    2.56663E+013 
        20.5556    2.24998E+013 
        20.6250    2.23898E+013 
        20.6944    2.48581E+013 
        20.7639    2.36226E+013 
        20.8333    2.11545E+013 
        20.9028    2.23843E+013 
        20.9722    2.50037E+013 
        21.0417    2.20299E+013 
        21.1111    2.09258E+013 
        21.1667    2.36437E+013 
        21.2361    2.36930E+013 
        21.3056    2.19350E+013 
        21.3750    2.38635E+013 
        21.4444    2.57523E+013 
        21.5000    2.34822E+013 
        21.5694    2.32283E+013 
        21.6389    2.87332E+013 
        21.6944    2.83615E+013 
        21.7639    2.50470E+013 
        21.8333    2.91505E+013 
        21.8889    3.17445E+013 
        21.9583    2.79219E+013 
        22.0139    2.98051E+013 
        22.0833    3.64494E+013 
        22.1389    3.16754E+013 
        22.2083    3.02467E+013 
        22.2639    3.70457E+013 
        22.3194    3.67094E+013 
        22.3889    3.30374E+013 
        22.4444    3.79983E+013 
        22.5000    3.93973E+013 
        22.5556    3.38073E+013 
        22.6111    3.67888E+013 
        22.6667    4.33756E+013 
        22.7222    3.93870E+013 
        22.7778    3.97399E+013 
        22.8333    4.53423E+013 
        22.8889    4.20804E+013 
        22.9444    4.12254E+013 
        23.0000    5.12250E+013 
        23.0417    4.82157E+013 
        23.0972    4.87439E+013 
        23.1389    5.55747E+013 
        23.1944    5.24875E+013 
        23.2361    5.19416E+013 
        23.2917    6.01996E+013 
        23.3333    6.03342E+013 
        23.3750    6.18065E+013 
        23.4306    6.93150E+013 
        23.4722    7.02280E+013 
        23.5139    7.25970E+013 
        23.5556    7.54436E+013 
        23.5972    7.58055E+013 
        23.6389    8.10444E+013 
        23.6667    8.58507E+013 
        23.7083    8.76600E+013 
        23.7500    9.14633E+013 
        23.7778    9.66177E+013 
        23.8194    1.01586E+014 
