    undulator A at 12 keV FHE  
    _________________________  
                               
              E            flux
        20.7500     3.78606E+13
        20.8333     4.05475E+13
        20.9375     4.38969E+13
        21.0208     4.17996E+13
        21.1250     3.75064E+13
        21.2083     4.33131E+13
        21.3125     3.94542E+13
        21.3958     3.61578E+13
        21.4792     4.37810E+13
        21.5833     3.76786E+13
        21.6667     3.59436E+13
        21.7500     3.86707E+13
        21.8333     4.07297E+13
        21.9167     3.42198E+13
        22.0000     3.67819E+13
        22.0833     3.72624E+13
        22.1667     3.26934E+13
        22.2500     3.47338E+13
        22.3333     3.59145E+13
        22.4167     3.05732E+13
        22.5000     3.36572E+13
        22.5625     3.21988E+13
        22.6458     2.70885E+13
        22.7083     3.08107E+13
        22.7917     3.07860E+13
        22.8542     2.69234E+13
        22.9375     2.72739E+13
        23.0000     2.45397E+13
        23.0625     2.30450E+13
        23.1458     2.54978E+13
        23.2083     2.24592E+13
        23.2708     2.15960E+13
        23.3333     2.23103E+13
        23.3958     1.90854E+13
        23.4583     1.74122E+13
        23.5000     1.69560E+13
        23.5625     1.67322E+13
        23.6250     1.40624E+13
        23.6667     1.35418E+13
        23.7292     1.55129E+13
        23.7708     1.53171E+13
        23.8333     1.19982E+13
        23.8750     8.42359E+12
        23.9167     6.61251E+12
        23.9583     7.62533E+12
        24.0000     8.62838E+12
        24.0417     7.21623E+12
        24.0833     6.33963E+12
        24.1250     8.17103E+12
        24.1667     9.49781E+12
        24.2292     9.38551E+12
        24.2708     8.40943E+12
        24.3333     5.85069E+12
        24.3750     6.17726E+12
        24.4375     8.06306E+12
        24.5000     6.95978E+12
        24.5417     5.82558E+12
        24.6042     7.72840E+12
        24.6667     8.77319E+12
        24.7292     9.25962E+12
        24.7917     8.73633E+12
        24.8542     7.04814E+12
        24.9375     5.77793E+12
        25.0000     5.96506E+12
        25.0625     8.45211E+12
        25.1458     8.90311E+12
        25.2083     1.01457E+13
        25.2917     7.34091E+12
        25.3542     5.94770E+12
        25.4375     6.83956E+12
        25.5000     8.58395E+12
        25.5833     7.16910E+12
        25.6667     9.42397E+12
        25.7500     8.91796E+12
        25.8333     7.11161E+12
        25.9167     7.04513E+12
        26.0000     6.81499E+12
        26.0833     7.56722E+12
        26.1667     1.10496E+13
        26.2500     8.05199E+12
        26.3333     6.76672E+12
        26.4167     6.85107E+12
        26.5208     7.68588E+12
        26.6042     9.37154E+12
        26.6875     8.92791E+12
        26.7917     7.45157E+12
        26.8750     7.36250E+12
        26.9792     7.05645E+12
        27.0625     8.17048E+12
        27.1667     9.29837E+12
        27.2500     8.45925E+12
        27.3542     6.26302E+12
        27.4583     7.43717E+12
        27.5417     8.19004E+12
        27.6458     9.25885E+12
        27.7500     7.27723E+12
        27.8333     6.41717E+12
        27.9375     7.43686E+12
        28.0417     7.78490E+12
        28.1458     9.04697E+12
        28.2500     7.24418E+12
        28.3333     6.44400E+12
        28.4375     6.45836E+12
        28.5417     8.12484E+12
        28.6458     8.92438E+12
        28.7500     6.70986E+12
        28.8542     5.88173E+12
        28.9583     6.88618E+12
        29.0625     7.95714E+12
        29.1667     7.88851E+12
        29.2708     6.40312E+12
        29.3750     5.79676E+12
        29.4792     6.72973E+12
        29.5833     7.70648E+12
        29.6875     6.78366E+12
        29.7917     5.71909E+12
        29.8958     6.05524E+12
