 flux tru 2x1 mm ap., at 28m, k=2 
 ________________________________ 
                                  
          energy              flux
        9.700773      5.890914E+12
        9.733919      3.928435E+12
        9.767066      4.109678E+12
        9.811260      4.213305E+12
        9.844407      3.432633E+12
        9.877553      4.512984E+12
        9.921748      3.716367E+12
        9.965942      4.450465E+12
        10.01014      4.263557E+12
        10.05433      4.553496E+12
        10.09853      4.795646E+12
        10.14272      4.810518E+12
        10.18692      5.258723E+12
        10.23111      5.217629E+12
        10.28636      5.625103E+12
        10.33055      5.766626E+12
        10.38579      6.012329E+12
        10.42999      6.186555E+12
        10.48523      6.370421E+12
        10.54048      6.440845E+12
        10.58467      6.630043E+12
        10.63991      6.539197E+12
        10.69516      6.693181E+12
        10.75040      6.536143E+12
        10.80564      6.387002E+12
        10.86089      6.315793E+12
        10.91613      5.898700E+12
        10.97138      5.686479E+12
        11.02662      5.301793E+12
        11.08186      4.818868E+12
        11.13711      4.483294E+12
        11.19235      4.013754E+12
        11.24759      3.636175E+12
        11.30284      3.396411E+12
        11.35808      3.255981E+12
        11.41332      3.354386E+12
        11.46857      3.797573E+12
        11.52381      4.614978E+12
        11.57905      5.995423E+12
        11.63430      8.017362E+12
        11.68954      1.086162E+13
        11.73374      1.381128E+13
        11.78898      1.846644E+13
        11.84422      2.446433E+13
        11.88842      3.026160E+13
        11.94366      3.866836E+13
        11.98786      4.687833E+13
        12.04310      5.843762E+13
        12.08730      6.887904E+13
        12.13149      7.999491E+13
        12.17569      9.194136E+13
        12.21988      1.053149E+14
        12.26408      1.181935E+14
        12.30827      1.301922E+14
        12.35247      1.423849E+14
        12.39666      1.515652E+14
        12.42981      1.566422E+14
        12.46295      1.605118E+14
        12.50715      1.597117E+14
        12.54029      1.544669E+14
        12.57344      1.452331E+14
        12.59554      1.362835E+14
        12.62868      1.152343E+14
        12.65078      9.703757E+13
        12.68393      6.476821E+13
        12.70602      3.944657E+13
        12.72812      1.748232E+13
        12.75022      6.813291E+12
        12.77232      4.862105E+12
        12.80546      4.301253E+12
        12.82756      4.821295E+12
        12.86071      3.645742E+12
        12.88280      2.685997E+12
        12.91595      2.818278E+12
        12.94910      3.583951E+12
        12.99329      2.442417E+12
        13.02644      2.233430E+12
        13.05958      2.723115E+12
        13.10378      2.305344E+12
        13.14797      2.026335E+12
        13.19217      2.121251E+12
        13.23636      1.829027E+12
        13.28056      1.809174E+12
        13.32475      1.645297E+12
        13.36895      1.553058E+12
        13.41314      1.524125E+12
        13.46839      1.403568E+12
        13.51258      1.436215E+12
        13.56782      1.476512E+12
        13.61202      1.534282E+12
        13.66726      1.754985E+12
        13.72251      2.039451E+12
        13.76670      2.365257E+12
        13.82195      2.907565E+12
        13.87719      3.617102E+12
        13.93243      4.509884E+12
        13.98768      5.610125E+12
        14.04292      6.947770E+12
        14.09816      8.548276E+12
        14.15341      1.037198E+13
        14.20865      1.259630E+13
        14.26389      1.491536E+13
        14.31914      1.782075E+13
        14.37438      2.068582E+13
        14.42962      2.418134E+13
        14.48487      2.766492E+13
        14.54011      3.152121E+13
        14.59536      3.561084E+13
        14.65060      3.949842E+13
        14.70584      4.393862E+13
        14.76109      4.769573E+13
        14.81633      5.165010E+13
        14.87157      5.538751E+13
        14.91577      5.755393E+13
        14.97101      6.060108E+13
        15.02626      6.211512E+13
        15.07045      6.271851E+13
        15.12569      6.332305E+13
        15.16989      6.186236E+13
        15.22513      5.993970E+13
        15.26933      5.842006E+13
        15.31352      5.483145E+13
        15.35772      5.168401E+13
        15.40191      4.887792E+13
        15.44611      4.538103E+13
        15.49030      4.284006E+13
        15.53450      4.224612E+13
        15.57869      4.404153E+13
        15.61184      4.754781E+13
        15.64498      5.353813E+13
        15.68918      6.654736E+13
        15.72232      8.131721E+13
        15.75547      1.012874E+14
        15.77757      1.178074E+14
        15.81071      1.476592E+14
        15.83281      1.717068E+14
        15.86596      2.100099E+14
        15.88806      2.202044E+14
        15.91015      1.353420E+14
        15.93225      3.361577E+13
        15.95435      1.170081E+13
        15.98749      6.462198E+12
        16.00959      5.351728E+12
        16.04274      4.274580E+12
        16.06483      4.114024E+12
        16.09798      4.350925E+12
        16.13113      4.085301E+12
        16.17532      3.925660E+12
        16.20847      4.478404E+12
        16.24161      4.853954E+12
        16.28581      4.935068E+12
        16.33000      5.718765E+12
        16.37420      6.383406E+12
        16.41839      6.744046E+12
        16.46259      7.819092E+12
        16.50678      8.589303E+12
        16.55098      9.250299E+12
        16.59517      1.039847E+13
        16.65042      1.154771E+13
        16.69461      1.267632E+13
        16.74986      1.389163E+13
        16.79405      1.516785E+13
        16.84929      1.661541E+13
        16.90454      1.796585E+13
        16.94873      1.946919E+13
        17.00397      2.046096E+13
        17.05922      2.232896E+13
        17.11446      2.324575E+13
        17.16971      2.478567E+13
        17.22495      2.566500E+13
        17.28019      2.667271E+13
        17.33544      2.737549E+13
        17.39068      2.778917E+13
        17.44592      2.811436E+13
        17.50117      2.790755E+13
        17.55641      2.770289E+13
        17.61165      2.689623E+13
        17.66690      2.610507E+13
        17.72214      2.479225E+13
        17.77739      2.349991E+13
        17.83263      2.189630E+13
        17.88787      2.052070E+13
        17.94312      1.902803E+13
        17.99836      1.773810E+13
        18.05360      1.698634E+13
        18.09780      1.669932E+13
        18.15304      1.722537E+13
        18.20829      1.877373E+13
        18.25248      2.108446E+13
        18.30772      2.529908E+13
        18.35192      2.999799E+13
        18.40716      3.783758E+13
        18.45136      4.572656E+13
        18.49555      5.483887E+13
        18.53975      6.539973E+13
        18.58394      7.748204E+13
        18.62814      9.092282E+13
        18.67233      1.038846E+14
        18.71653      1.169493E+14
        18.76072      1.311907E+14
        18.79387      1.398647E+14
        18.82701      1.447087E+14
        18.87121      1.489674E+14
        18.90435      1.497928E+14
        18.93750      1.466441E+14
        18.95960      1.383842E+14
        18.99274      1.188728E+14
        19.01484      1.022575E+14
        19.04799      7.318496E+13
        19.07009      4.765364E+13
        19.09218      2.854450E+13
        19.11428      1.843911E+13
        19.13638      1.174372E+13
        19.16952      9.847717E+12
