 flux tru 1.5x0.5 mm ap., at 28m, 
 ________________________________ 
                                  
          energy              flux
        9.700773      2.156925E+12
        9.733919      1.404405E+12
        9.767066      1.316195E+12
        9.811260      1.287141E+12
        9.844407      9.742432E+11
        9.877553      1.285979E+12
        9.921748      1.001888E+12
        9.965942      1.197334E+12
        10.01014      1.123932E+12
        10.05433      1.185740E+12
        10.09853      1.258286E+12
        10.14272      1.236245E+12
        10.18692      1.377003E+12
        10.23111      1.342142E+12
        10.28636      1.477732E+12
        10.33055      1.515982E+12
        10.38579      1.600817E+12
        10.42999      1.662534E+12
        10.48523      1.731428E+12
        10.54048      1.767225E+12
        10.58467      1.847735E+12
        10.63991      1.834785E+12
        10.69516      1.924249E+12
        10.75040      1.903135E+12
        10.80564      1.894950E+12
        10.86089      1.911623E+12
        10.91613      1.793841E+12
        10.97138      1.760123E+12
        11.02662      1.651907E+12
        11.08186      1.498404E+12
        11.13711      1.396333E+12
        11.19235      1.219822E+12
        11.24759      1.060097E+12
        11.30284      9.288445E+11
        11.35808      7.969956E+11
        11.41332      7.218908E+11
        11.46857      7.317024E+11
        11.52381      8.369932E+11
        11.57905      1.104113E+12
        11.63430      1.566793E+12
        11.68954      2.299521E+12
        11.73374      3.112019E+12
        11.78898      4.479012E+12
        11.84422      6.364002E+12
        11.88842      8.266380E+12
        11.94366      1.114425E+13
        11.98786      1.410467E+13
        12.04310      1.849591E+13
        12.08730      2.261574E+13
        12.13149      2.717107E+13
        12.17569      3.242047E+13
        12.21988      3.854406E+13
        12.26408      4.486009E+13
        12.30827      5.128038E+13
        12.35247      5.820296E+13
        12.39666      6.450766E+13
        12.42981      6.873168E+13
        12.46295      7.262060E+13
        12.50715      7.553430E+13
        12.54029      7.564284E+13
        12.57344      7.351024E+13
        12.59554      7.050826E+13
        12.62868      6.196621E+13
        12.65078      5.344329E+13
        12.68393      3.655835E+13
        12.70602      2.210007E+13
        12.72812      9.105083E+12
        12.75022      3.173923E+12
        12.77232      2.074512E+12
        12.80546      1.629002E+12
        12.82756      1.700926E+12
        12.86071      1.284385E+12
        12.88280      9.303185E+11
        12.91595      9.314693E+11
        12.94910      1.186782E+12
        12.99329      7.739387E+11
        13.02644      6.943387E+11
        13.05958      8.684294E+11
        13.10378      7.098983E+11
        13.14797      6.115830E+11
        13.19217      6.562228E+11
        13.23636      5.366515E+11
        13.28056      5.328179E+11
        13.32475      4.773377E+11
        13.36895      4.284119E+11
        13.41314      4.107566E+11
        13.46839      3.537717E+11
        13.51258      3.415516E+11
        13.56782      3.260244E+11
        13.61202      3.166637E+11
