-0.99949	2.6655		0.044200
-0.50038	2.6765		0.044358
0.0000		2.4611		0.041271
0.50038		2.2887		0.038796
0.99949		2.2070		0.037620
1.4999		2.1272		0.036471
2.0003		2.0854		0.035869
2.5006		2.1786		0.037211
2.9997		2.0984		0.036056
3.5001		2.1192		0.036356
4.0005		2.1020		0.036108
4.4996		2.0926		0.035973
5.0000		2.0334		0.035119
5.5004		2.0818		0.035817
5.9995		2.0350		0.035142
6.4999		1.7696		0.031306
7.0002		1.3721		0.025512
7.5006		0.93061		0.018954
7.9997		0.52530		0.012658
8.5001		0.22116		0.0073486
9.0005		0.058788	0.0035279
9.4996		0.016597	0.0018368
10.0000		0.0081984	0.0012856
