     -1.20015      1.97488
     -0.94361      2.01612
     -0.68707      1.95504
      -0.4318      1.90624
     -0.17526      1.88244
      0.08128      1.89844
      0.33782      1.91116
      0.59436      1.88172
      0.84963      1.86429
      1.10617      1.86789
      1.36271      1.85977
      1.61925      1.84069
      1.87452      1.81389
      2.13106      1.80677
       2.3876      1.79993
      2.64414      1.78945
      2.89941      1.76045
      3.15595      1.76245
      3.41249      1.72793
      3.66903      1.70517
      3.92557      1.70781
      4.18084      1.70081
      4.43738      1.68101
      4.69392      1.65453
      4.95046      1.63533
      5.20573      1.61662
      5.46227      1.63073
      5.71881      1.58258
      5.97535      1.58918
      5.99948       1.5749
      6.23062       1.5387
      6.48716      1.51314
      6.49986       1.5355
      7.00024       1.4875
      7.50062      1.43293
      7.99973      1.41405
      8.50011      1.35448
      9.00049      1.27102
      9.49959      1.21322
      9.99998      1.13182
      10.5004      1.04223
      10.9995     0.949173
      11.4998     0.743007
      12.0002     0.395217
      12.5006     0.133053
      12.9997    0.0373326
      13.5001    0.0140569
      14.0005   0.00653321
      14.4996   0.00334276
           15   0.00211423
