CALC_ID v. 1.00a
Mon Oct 28 12:01:07 2013
Beff estimated from interpolated measured undulator effective magnetic fields.
Units are in Gauss and mm.

 Gap                 8.00        8.25        8.50        8.75        9.00        9.25        9.50        9.75       10.00       10.25       10.50       10.75       11.00       11.25       11.50       11.75       12.00       12.25       12.50       12.75       13.00       13.25       13.50       13.75       14.00       14.25       14.50       14.75       15.00       15.25       15.50       15.75       16.00       16.25       16.50       16.75       17.00       17.25       17.50       17.75       18.00       18.25       18.50       18.75       19.00       19.25       19.50       19.75       20.00       20.25       20.50       20.75       21.00       21.25       21.50       21.75       22.00       22.25       22.50       22.75       23.00       23.25       23.50       23.75       24.00       24.25       24.50       24.75       25.00
 Period
         21.0     7199.11     6922.14     6655.82     6399.75     6153.53     5916.79     5689.15     5470.17     5259.61     5057.17     4862.51     4675.79     4496.24     4323.59     4157.57     3999.57     3847.57     3701.35     3560.69     3425.37     3295.20     3169.97     3049.50     2935.14     2825.06     2719.11     2617.14     2518.99     2424.52     2333.60     2246.08     2162.71     2082.44     2005.14     1930.71     1859.05     1790.05     1723.60     1659.63     1598.02     1538.71     1481.59     1426.60     1374.16     1323.64     1274.98     1228.11     1182.96     1139.47     1097.58     1057.23     1018.36      980.92      944.86      910.13      876.67      844.44      813.40      783.49      754.69      726.94      700.22      674.48      649.68      625.80      602.79      580.63      559.54      539.22
         21.5     7422.60     7142.75     6873.45     6614.31     6364.94     6124.96     5894.04     5671.72     5457.79     5251.93     5053.83     4863.64     4680.60     4504.45     4334.93     4173.49     4018.06     3868.43     3724.36     3585.66     3452.13     3323.56     3199.79     3082.25     2969.03     2859.96     2754.90     2653.70     2556.22     2462.32     2371.87     2285.69     2202.65     2122.62     2045.49     1971.17     1899.55     1830.54     1764.03     1699.93     1638.17     1578.65     1521.29     1466.60     1413.88     1363.05     1314.05     1266.81     1221.27     1177.36     1135.04     1094.23     1054.89     1016.97      980.41      945.16      911.19      878.43      846.85      816.41      787.06      758.76      731.48      705.19      679.84      655.40      631.83      609.41      587.77
         22.0     7642.40     7359.89     7087.83     6825.82     6573.50     6330.51     6096.50     5871.04     5653.92     5444.84     5243.48     5049.98     4863.62     4684.14     4511.28     4346.56     4187.85     4034.94     3887.61     3745.66     3608.89     3477.12     3350.15     3229.55     3113.28     3001.21     2893.16     2789.01     2688.60     2591.81     2498.51     2409.60     2323.86     2241.17     2161.42     2084.50     2010.33     1938.79     1869.80     1803.27     1739.10     1677.22     1617.54     1560.64     1505.75     1452.79     1401.69     1352.38     1304.82     1258.92     1214.64     1171.92     1130.70     1090.93     1052.56     1015.53      979.81      945.35      912.10      880.02      849.07      819.20      790.39      762.59      735.76      709.88      684.92      661.14      638.19
         22.5     7858.50     7573.54     7298.92     7034.25     6779.18     6533.35     6296.45     6068.04     5847.92     5635.78     5431.34     5234.71     5045.19     4862.54     4686.50     4518.64     4356.79     4200.74     4050.28     3905.21     3765.33     3630.47     3500.43     3376.87     3257.67     3142.69     3031.75     2924.74     2821.50     2721.91     2625.83     2534.27     2445.91     2360.63     2278.32     2198.88     2122.21     2048.22     1976.80     1907.87     1841.35     1777.15     1715.19     1656.13     1599.11     1544.05     1490.89     1439.55     1389.99     1342.13     1295.92     1251.30     1208.22     1166.62     1126.45     1087.67     1050.22     1014.06      979.14      945.43      912.88      881.45      851.10      821.79      793.50      766.18      739.80      714.67      690.40
         23.0     8070.93     7783.71     7506.71     7239.57     6981.93     6733.46     6493.84     6262.66     6039.71     5824.69     5617.33     5417.72     5225.21     5039.54     4860.46     4689.61     4524.76     4365.71     4212.24     4064.18     3921.31     3783.47     3650.48     3524.08     3402.05     3284.25     3170.53     3060.74     2954.76     2852.45     2753.68     2659.56     2568.65     2480.85     2396.05     2314.15     2235.05     2158.65     2084.87     2013.61     1944.78     1878.30     1814.10     1752.93     1693.82     1636.71     1581.52     1528.19     1476.66     1426.86     1378.75     1332.26     1287.34     1243.93     1201.98     1161.45     1122.29     1084.44     1047.88     1012.54      978.40      945.41      913.53      882.73      852.96      824.20      796.41      769.93      744.34
         23.5     8279.69     7990.39     7711.20     7441.76     7181.74     6930.80     6688.63     6454.84     6229.22     6011.49     5801.37     5598.95     5403.58     5215.03     5033.07     4859.36     4691.64     4529.72     4373.38     4222.44     4076.71     3936.01     3800.16     3671.03     3546.27     3425.76     3309.35     3196.89     3088.25     2983.30     2881.92     2785.31     2691.93     2601.69     2514.47     2430.18     2348.71     2269.97     2193.87     2120.32     2049.24     1980.54     1914.15     1850.91     1789.76     1730.62     1673.45     1618.16     1564.70     1513.00     1463.01     1414.68     1367.94     1322.74     1279.04     1236.78     1195.92     1156.41     1118.20     1081.26     1045.54     1010.99      977.59      945.29      914.06      883.86      854.66      826.84      799.92
         24.0     8484.83     8193.61     7912.39     7640.83     7378.58     7125.33     6880.78     6644.54     6416.42     6196.13     5983.40     5778.30     5580.23     5388.95     5204.23     5027.80     4857.35     4692.68     4533.59     4379.89     4231.41     4087.96     3949.37     3817.60     3690.22     3567.10     3448.08     3333.03     3221.83     3114.33     3010.42     2911.40     2815.63     2723.01     2633.44     2546.82     2463.05     2382.03     2303.68     2227.90     2154.62     2083.74     2015.20     1949.94     1886.79     1825.68     1766.56     1709.35     1653.99     1600.42     1548.59     1498.44     1449.91     1402.96     1357.52     1313.56     1271.02     1229.85     1190.02     1151.48     1114.19     1078.11     1043.19     1009.41      976.72      945.09      914.48      885.32      857.08
         24.5     8686.36     8393.39     8110.31     7836.77     7572.46     7317.06     7070.27     6831.74     6601.26     6378.56     6163.36     5955.73     5755.10     5561.22     5373.87     5194.85     5021.79     4854.49     4692.77     4536.43     4385.30     4239.21     4097.99     3963.68     3833.78     3708.14     3586.61     3469.07     3355.38     3245.41     3139.05     3037.70     2939.61     2844.70     2752.85     2663.96     2577.95     2494.71     2414.16     2336.21     2260.78     2187.78     2117.14     2049.90     1984.80     1921.76     1860.73     1801.64     1744.42     1689.02     1635.38     1583.44     1533.15     1484.46     1437.32     1391.67     1347.47     1304.68     1263.24     1223.12     1184.28     1146.67     1110.25     1074.99     1040.85     1007.80      975.79      945.29      915.74
         25.0     8884.33     8589.76     8304.96     8029.60     7763.37     7505.96     7257.10     7016.42     6783.72     6558.74     6341.22     6131.19     5928.12     5731.77     5541.93     5360.44     5184.88     5015.08     4850.83     4691.97     4538.31     4389.68     4245.92     4109.18     3976.85     3848.78     3724.84     3604.88     3488.79     3376.44     3267.71     3164.10     3063.77     2966.63     2872.56     2781.48     2693.29     2607.89     2525.20     2445.14     2367.61     2292.54     2219.85     2150.68     2083.68     2018.76     1955.86     1894.92     1835.88     1778.68     1723.27     1669.57     1617.56     1567.16     1518.33     1471.03     1425.19     1380.79     1337.77     1296.09     1255.71     1216.59     1178.68     1141.96     1106.38     1071.91     1038.51     1006.68      975.83
         25.5     9078.79     8782.76     8496.38     8219.34     7951.33     7692.06     7441.24     7198.55     6963.77     6736.64     6516.93     6304.64     6099.26     5900.57     5708.35     5524.50     5346.57     5174.37     5007.72     4846.43     4690.34     4539.27     4393.08     4254.01     4119.34     3988.93     3862.66     3740.38     3621.97     3507.31     3396.28     3290.49     3188.00     3088.70     2992.49     2899.28     2808.97     2721.47     2636.70     2554.57     2475.00     2397.91     2323.22     2252.18     2183.31     2116.55     2051.83     1989.09     1928.27     1869.31     1812.15     1756.74     1703.02     1650.95     1600.47     1551.53     1504.09     1458.10     1413.51     1370.29     1328.39     1287.77     1248.39     1210.22     1173.22     1137.34     1102.57     1069.42     1037.27
