Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
30.540000	70.376759	7.262790	699.835049	699.835049	1.226058	3.987282	0.000000		0.000000	12799.184742
31.100000	70.291567	7.253998	699.835049	699.835049	1.242992	3.997176	0.000000		0.000000	12799.679664
31.650000	70.192178	7.243741	700.007172	700.007172	1.259927	4.026858	0.000000		0.000000	12799.679664
32.200000	70.143903	7.238760	699.835049	699.835049	1.276861	4.036752	0.000000		0.000000	12799.184742
32.750000	70.104147	7.234657	700.007172	700.007172	1.297183	4.066434	0.000000		0.000000	12799.679664
33.300000	70.007597	7.224693	700.007172	700.007172	1.310730	4.076328	0.000000		0.000000	12799.679664
33.850000	69.916726	7.215315	700.007172	700.007172	1.331052	4.101063	0.000000		0.000000	12799.679664
34.400000	69.882650	7.211799	699.835049	699.835049	1.351373	4.120851	0.000000		0.000000	12799.184742
34.950000	69.823016	7.205644	700.007172	700.007172	1.371695	4.135692	0.000000		0.000000	12799.184742
35.500000	69.754863	7.198611	699.835049	699.835049	1.388629	4.150533	0.000000		0.000000	12799.184742
36.050000	69.712267	7.194215	699.835049	699.835049	1.402177	4.175268	0.000000		0.000000	12799.184742
36.610000	69.652633	7.188061	700.007172	700.007172	1.419111	4.185162	0.000000		0.000000	12799.679664
37.160000	69.558923	7.178390	700.007172	700.007172	1.442819	4.214844	0.000000		0.000000	12799.184742
37.710000	69.504969	7.172822	700.007172	700.007172	1.456367	4.234632	0.000000		0.000000	12799.679664
38.260000	69.470892	7.169306	699.835049	699.835049	1.480075	4.254420	0.000000		0.000000	12799.184742
38.810000	69.414098	7.163445	699.835049	699.835049	1.497010	4.274208	0.000000		0.000000	12799.679664
39.360000	69.374342	7.159342	700.007172	700.007172	1.513944	4.289049	0.000000		0.000000	12799.184742
39.910000	69.269273	7.148499	699.835049	699.835049	1.530879	4.303890	0.000000		0.000000	12799.679664
40.470000	69.220998	7.143517	700.007172	700.007172	1.551200	4.323678	0.000000		0.000000	12799.679664
41.040000	69.155685	7.136777	700.007172	700.007172	1.574909	4.353360	0.000000		0.000000	12799.679664
41.600000	69.115929	7.132674	700.007172	700.007172	1.588456	4.368201	0.000000		0.000000	12799.679664
42.160000	69.033577	7.124175	700.007172	700.007172	1.612164	4.383042	0.000000		0.000000	12799.679664
42.720000	68.968264	7.117435	699.835049	699.835049	1.629099	4.407777	0.000000		0.000000	12799.679664
43.290000	68.900111	7.110402	700.007172	700.007172	1.642646	4.422618	0.000000		0.000000	12799.679664
