Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
5.226000	73.130957	37.735084	2326.625954	2326.625954	0.769618	-0.178038	0.000000		-3.563123	12808.093343
5.326000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
5.426000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
5.526000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.182850	0.000000		-3.563123	12808.093343
5.626000	73.130957	37.735084	2326.625954	2326.625954	0.765971	-0.182850	0.000000		-3.563123	12808.588265
5.726000	73.130957	37.735084	2326.625954	2326.625954	0.765971	-0.182850	0.000000		-3.563123	12808.588265
5.826000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
5.926000	73.139525	37.739505	2326.778626	2326.778626	0.762324	-0.182850	0.000000		-3.563123	12808.093343
6.026000	73.139525	37.739505	2326.778626	2326.778626	0.762324	-0.182850	0.000000		-3.563123	12808.093343
6.126000	73.128102	37.733610	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
6.226000	73.133813	37.736558	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
6.326000	73.133813	37.736558	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
6.426000	73.139525	37.739505	2326.625954	2326.625954	0.769618	-0.178038	0.000000		-3.563123	12808.093343
6.526000	73.139525	37.739505	2326.778626	2326.778626	0.765971	-0.178038	0.000000		-3.563123	12808.093343
6.626000	73.139525	37.739505	2326.778626	2326.778626	0.765971	-0.178038	0.000000		-3.563123	12808.093343
6.726000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
6.826000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
6.926000	73.139525	37.739505	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
7.026000	73.133813	37.736558	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
7.126000	73.130957	37.735084	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
7.226000	73.130957	37.735084	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
7.326000	73.125246	37.732137	2326.625954	2326.625954	0.765971	-0.178038	0.000000		-3.563123	12808.093343
7.426000	73.119534	37.729190	2326.625954	2326.625954	0.762324	-0.178038	0.000000		-3.563123	12808.093343
7.526000	73.119534	37.729190	2326.625954	2326.625954	0.762324	-0.178038	0.000000		-3.563123	12808.093343
7.626000	73.119534	37.729190	2326.778626	2326.778626	0.765971	-0.182850	0.000000		-3.563123	12808.093343
7.726000	73.110966	37.724769	2326.625954	2326.625954	0.765971	-0.182850	0.000000		-3.563123	12808.093343
7.826000	73.110966	37.724769	2326.625954	2326.625954	0.765971	-0.182850	0.000000		-3.563123	12808.093343
7.926000	73.102399	37.720348	2326.778626	2326.778626	0.769618	-0.182850	0.000000		-3.563123	12808.093343
8.026000	73.090975	37.714454	2326.625954	2326.625954	0.769618	-0.187661	0.000000		-3.563123	12808.093343
8.126000	73.090975	37.714454	2326.625954	2326.625954	0.769618	-0.187661	0.000000		-3.563123	12808.093343
8.226000	73.085264	37.711506	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
8.326000	73.076696	37.707086	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
8.426000	73.076696	37.707086	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
8.526000	73.062417	37.699718	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
8.626000	73.033858	37.684981	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
8.726000	73.033858	37.684981	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
8.826000	73.028146	37.682034	2326.625954	2326.625954	0.773266	-0.187661	0.000000		-3.563123	12808.093343
8.926000	73.019579	37.677613	2326.625954	2326.625954	0.773266	-0.187661	0.000000		-3.563123	12808.093343
